time,event,value
-1,button_pressed,right;next
-1,button_pressed,right;next
-1,button_pressed,right;next
-1,button_pressed,left;repeat
-1,button_pressed,left;repeat
0,participant_id,012294c9-59d0-4806-86c5-09cbd5aea97e
0,condition,positive
0,lessons,4;3;5;2;1
666,starting_story,9;neutral
989,hmd_pitch,1.260923
1986,hmd_pitch,1.226842
2986,hmd_pitch,0.9877484
3986,hmd_pitch,1.090237
4985,hmd_pitch,0.934638
5984,hmd_pitch,355.5548
6984,hmd_pitch,355.6058
7984,hmd_pitch,355.7677
8983,hmd_pitch,355.3441
9982,hmd_pitch,355.7901
10983,hmd_pitch,355.924
11982,hmd_pitch,356.077
12983,hmd_pitch,356.2881
13981,hmd_pitch,356.0414
14981,hmd_pitch,356.1021
15981,hmd_pitch,355.8132
16980,hmd_pitch,1.701059
17980,hmd_pitch,1.138695
18979,hmd_pitch,0.5549524
19979,hmd_pitch,0.1310833
20978,hmd_pitch,0.1967282
21977,hmd_pitch,356.1583
22977,hmd_pitch,354.5609
23976,hmd_pitch,354.9075
24976,hmd_pitch,355.0665
25976,hmd_pitch,355.2254
26976,hmd_pitch,355.2989
27976,hmd_pitch,355.5839
28975,hmd_pitch,355.9322
29974,hmd_pitch,355.6597
30974,hmd_pitch,355.7383
31985,hmd_pitch,355.8322
32984,hmd_pitch,355.5997
33982,hmd_pitch,355.6337
34983,hmd_pitch,355.5618
35983,hmd_pitch,355.506
36982,hmd_pitch,355.064
37981,hmd_pitch,355.3796
38271,starting_story,4;neutral
38982,hmd_pitch,0.4864205
39981,hmd_pitch,24.38655
40981,hmd_pitch,20.86211
41975,hmd_pitch,17.95277
42980,hmd_pitch,16.98857
43980,hmd_pitch,16.58425
44979,hmd_pitch,16.2798
45978,hmd_pitch,15.62305
46976,hmd_pitch,15.55475
47977,hmd_pitch,15.34647
48977,hmd_pitch,15.03921
49976,hmd_pitch,14.77605
50976,hmd_pitch,14.28232
51976,hmd_pitch,14.35286
52976,hmd_pitch,14.38555
53970,hmd_pitch,14.03993
54976,hmd_pitch,13.87119
55975,hmd_pitch,13.6445
56974,hmd_pitch,13.40741
57973,hmd_pitch,13.21963
58973,hmd_pitch,13.16818
59973,hmd_pitch,13.09179
60973,hmd_pitch,13.0528
61973,hmd_pitch,12.72815
62972,hmd_pitch,12.21265
63971,hmd_pitch,10.5873
64970,hmd_pitch,9.320568
65980,hmd_pitch,9.000116
66979,hmd_pitch,7.079226
67980,hmd_pitch,7.231136
68379,starting_story,6;neutral
68979,hmd_pitch,7.062793
69979,hmd_pitch,8.0522
70979,hmd_pitch,14.77277
71977,hmd_pitch,20.98189
72976,hmd_pitch,19.85215
73976,hmd_pitch,18.2063
74976,hmd_pitch,17.70906
75976,hmd_pitch,17.25397
76976,hmd_pitch,15.94742
77969,hmd_pitch,13.53342
78974,hmd_pitch,13.20862
79975,hmd_pitch,13.2423
80973,hmd_pitch,13.24751
81973,hmd_pitch,13.17101
82974,hmd_pitch,13.17815
83972,hmd_pitch,13.19231
84284,button_pressed,left;repeat
84285,repeat_lesson,True
84286,starting_story,8;positive
84971,hmd_pitch,13.07842
85972,hmd_pitch,13.08005
86971,hmd_pitch,13.05293
87971,hmd_pitch,12.98588
88969,hmd_pitch,12.97473
89897,starting_story,4;positive
89964,hmd_pitch,12.92456
90966,hmd_pitch,13.00419
91979,hmd_pitch,12.82558
92979,hmd_pitch,12.75617
93979,hmd_pitch,12.74765
94979,hmd_pitch,12.76042
