time,event,value
-1,button_pressed,left;repeat
-1,button_pressed,right;next
0,participant_id,0b04dc2a-8af0-4730-b981-258c78e27b12
0,condition,negative
1,lessons,1;5;2;3;4
678,starting_story,9;neutral
995,hmd_pitch,350.9154
1998,hmd_pitch,357.7044
2992,hmd_pitch,356.3772
3998,hmd_pitch,355.4009
4996,hmd_pitch,357.5713
5996,hmd_pitch,355.6222
6996,hmd_pitch,355.1938
7995,hmd_pitch,355.5266
8996,hmd_pitch,356.699
9994,hmd_pitch,358.8226
10993,hmd_pitch,353.4597
11992,hmd_pitch,356.6526
12992,hmd_pitch,358.0207
13992,hmd_pitch,359.7542
14991,hmd_pitch,359.1818
15991,hmd_pitch,355.8668
17002,hmd_pitch,354.9857
18000,hmd_pitch,356.4088
19002,hmd_pitch,357.0462
20000,hmd_pitch,357.1978
21000,hmd_pitch,357.914
22000,hmd_pitch,357.4684
23000,hmd_pitch,357.7432
23998,hmd_pitch,358.0682
24997,hmd_pitch,358.3867
25998,hmd_pitch,358.317
26998,hmd_pitch,358.76
27997,hmd_pitch,358.1922
28996,hmd_pitch,358.3803
29996,hmd_pitch,356.7611
30996,hmd_pitch,357.154
32005,hmd_pitch,352.8796
33007,hmd_pitch,357.6956
34005,hmd_pitch,357.838
35004,hmd_pitch,357.9359
36005,hmd_pitch,357.5479
37006,hmd_pitch,357.4437
38003,hmd_pitch,357.4087
38293,starting_story,1;neutral
39003,hmd_pitch,357.9581
40002,hmd_pitch,354.7747
41003,hmd_pitch,356.295
42002,hmd_pitch,354.3999
43001,hmd_pitch,356.6451
44001,hmd_pitch,357.5538
45001,hmd_pitch,358.4844
45995,hmd_pitch,358.5976
46998,hmd_pitch,359.6158
48000,hmd_pitch,359.6506
48999,hmd_pitch,359.8177
49998,hmd_pitch,359.9702
50998,hmd_pitch,0.1873778
51998,hmd_pitch,0.2364878
52997,hmd_pitch,0.7553602
53998,hmd_pitch,2.089342
54997,hmd_pitch,1.851997
55995,hmd_pitch,1.561822
56996,hmd_pitch,1.773146
57995,hmd_pitch,1.7368
58995,hmd_pitch,3.209928
60000,hmd_pitch,0.7443192
61005,hmd_pitch,0.3504879
62004,hmd_pitch,0.7238151
63004,hmd_pitch,0.922776
64004,hmd_pitch,358.6946
65002,hmd_pitch,0.323869
66002,hmd_pitch,0.3588686
67003,hmd_pitch,1.690262
68001,hmd_pitch,1.582105
69002,hmd_pitch,1.383603
70000,hmd_pitch,1.008738
71000,hmd_pitch,1.170359
72000,hmd_pitch,359.5411
73001,hmd_pitch,0.4187593
73966,starting_story,6;neutral
74012,hmd_pitch,1.341387
75011,hmd_pitch,2.245236
76009,hmd_pitch,2.700118
77010,hmd_pitch,2.915005
78007,hmd_pitch,3.745517
79007,hmd_pitch,3.570333
79619,button_pressed,right;next
80006,hmd_pitch,4.230932
81007,hmd_pitch,2.672828
82005,hmd_pitch,3.095564
82428,button_pressed,right;next
82430,repeat_lesson,False
82430,starting_story,7;negative
83061,hmd_pitch,2.608115
84062,hmd_pitch,0.4112438
85061,hmd_pitch,359.1397
86059,hmd_pitch,359.4041
87060,hmd_pitch,0.6378456
88059,hmd_pitch,1.69661
89070,hmd_pitch,0.8376476
