time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,1d9c332c-060e-43cd-a4e2-9783b61274fd
0,condition,negative
2,lessons,5;4;2;1;3
688,starting_story,9;neutral
1007,hmd_pitch,16.36666
2012,hmd_pitch,15.4567
3009,hmd_pitch,15.02633
4008,hmd_pitch,15.0171
5009,hmd_pitch,15.03593
6009,hmd_pitch,13.81228
7008,hmd_pitch,14.25138
8008,hmd_pitch,20.86496
9007,hmd_pitch,17.4941
10009,hmd_pitch,17.5737
11007,hmd_pitch,17.36783
12005,hmd_pitch,17.34323
13007,hmd_pitch,17.01044
14005,hmd_pitch,17.05832
15005,hmd_pitch,16.41965
16003,hmd_pitch,15.81535
17003,hmd_pitch,14.85657
18003,hmd_pitch,15.11278
19002,hmd_pitch,14.18373
20002,hmd_pitch,13.35839
21002,hmd_pitch,13.76444
22001,hmd_pitch,13.30474
23000,hmd_pitch,13.4174
24000,hmd_pitch,13.52693
24999,hmd_pitch,13.29256
25999,hmd_pitch,13.22702
26999,hmd_pitch,13.55443
27998,hmd_pitch,13.19549
28997,hmd_pitch,12.98995
29997,hmd_pitch,13.18278
30997,hmd_pitch,12.64767
31997,hmd_pitch,13.35841
33009,hmd_pitch,13.2897
34007,hmd_pitch,12.49822
35006,hmd_pitch,11.44559
36006,hmd_pitch,11.30323
37004,hmd_pitch,11.44566
38005,hmd_pitch,11.33239
38317,starting_story,5;neutral
39005,hmd_pitch,15.80307
40004,hmd_pitch,23.50835
41004,hmd_pitch,22.96554
42002,hmd_pitch,22.75994
43002,hmd_pitch,22.38157
44014,hmd_pitch,22.01528
45013,hmd_pitch,21.69266
46014,hmd_pitch,21.22163
47012,hmd_pitch,21.04071
48012,hmd_pitch,21.28231
49010,hmd_pitch,21.28432
50011,hmd_pitch,21.35742
51010,hmd_pitch,21.30956
52010,hmd_pitch,21.47556
53010,hmd_pitch,21.45325
54010,hmd_pitch,21.4736
55008,hmd_pitch,21.38998
56003,hmd_pitch,20.16492
57008,hmd_pitch,21.66319
58007,hmd_pitch,22.94988
59005,hmd_pitch,23.4908
60005,hmd_pitch,22.76924
61017,hmd_pitch,22.38843
62015,hmd_pitch,22.38821
63016,hmd_pitch,22.48936
64013,hmd_pitch,22.29532
65016,hmd_pitch,21.98855
66014,hmd_pitch,22.8059
67015,hmd_pitch,22.29142
68009,hmd_pitch,22.38293
69013,hmd_pitch,22.19137
70014,hmd_pitch,22.19788
71011,hmd_pitch,22.12781
72011,hmd_pitch,22.11423
73013,hmd_pitch,22.11419
74012,hmd_pitch,21.95345
75011,hmd_pitch,21.98286
76010,hmd_pitch,22.01008
77010,hmd_pitch,21.34349
78010,hmd_pitch,23.70031
79009,hmd_pitch,24.64175
80008,hmd_pitch,24.41748
81009,hmd_pitch,25.04685
82006,hmd_pitch,27.08473
83007,hmd_pitch,25.11384
83451,starting_story,6;neutral
84005,hmd_pitch,23.37838
85009,hmd_pitch,24.52843
86007,hmd_pitch,28.11911
87007,hmd_pitch,27.34162
88006,hmd_pitch,26.34294
89003,hmd_pitch,25.69012
89281,button_pressed,right;next
90004,hmd_pitch,24.79003
91003,hmd_pitch,24.30419
92003,hmd_pitch,23.72929
92624,button_pressed,right;next
92625,repeat_lesson,False
92625,starting_story,7;negative
92999,hmd_pitch,23.01024
94003,hmd_pitch,23.00601
95001,hmd_pitch,21.70851
96002,hmd_pitch,20.01535
97000,hmd_pitch,18.32815
98001,hmd_pitch,16.9687
99000,hmd_pitch,16.51782
100001,hmd_pitch,13.64605
100999,hmd_pitch,16.02276
101998,hmd_pitch,14.31466
103009,hmd_pitch,13.64524
104009,hmd_pitch,13.00866
105008,hmd_pitch,13.14415
106009,hmd_pitch,12.68911
107008,hmd_pitch,15.6331
108008,hmd_pitch,15.15065
109007,hmd_pitch,14.74047
110007,hmd_pitch,14.602
111005,hmd_pitch,13.29475
112005,hmd_pitch,12.77281
113005,hmd_pitch,13.07194
114003,hmd_pitch,13.31568
115014,hmd_pitch,17.5616
115159,starting_story,11;negative
116017,hmd_pitch,17.84958
117015,hmd_pitch,17.41363
118014,hmd_pitch,17.91166
119012,hmd_pitch,21.1713
119745,starting_story,4;neutral
120013,hmd_pitch,21.21169
121035,hmd_pitch,20.84878
122033,hmd_pitch,20.54879
123034,hmd_pitch,20.71869
124033,hmd_pitch,20.68389
125033,hmd_pitch,20.34017
126033,hmd_pitch,20.2154
127026,hmd_pitch,20.16278
128032,hmd_pitch,20.99695
129031,hmd_pitch,21.29587
130031,hmd_pitch,21.53801
131030,hmd_pitch,21.46122
132029,hmd_pitch,21.35691
133029,hmd_pitch,21.27796
134029,hmd_pitch,15.7038
135029,hmd_pitch,19.01959
136028,hmd_pitch,18.72388
137028,hmd_pitch,18.31643
138027,hmd_pitch,18.22936
139027,hmd_pitch,18.22697
140025,hmd_pitch,18.74011
141026,hmd_pitch,19.2824
142025,hmd_pitch,19.1944
143026,hmd_pitch,19.28425
144025,hmd_pitch,22.61749
145026,hmd_pitch,22.54029
146024,hmd_pitch,21.83624
147023,hmd_pitch,21.77651
148022,hmd_pitch,21.29945
149023,hmd_pitch,21.42725
149844,starting_story,6;neutral
150020,hmd_pitch,21.39927
151021,hmd_pitch,21.13112
152020,hmd_pitch,22.50329
153021,hmd_pitch,22.61586
154020,hmd_pitch,22.01223
155019,hmd_pitch,21.97943
155609,button_pressed,left;repeat
156018,hmd_pitch,21.06333
157018,hmd_pitch,18.60726
158018,hmd_pitch,19.89307
159017,hmd_pitch,20.73831
159761,button_pressed,left;repeat
159762,repeat_lesson,True
159762,starting_story,8;negative
160018,hmd_pitch,21.1031
161018,hmd_pitch,18.47263
162027,hmd_pitch,17.15818
163027,hmd_pitch,17.41409
164027,hmd_pitch,16.86652
165027,hmd_pitch,15.97345
166025,hmd_pitch,8.707917
167026,hmd_pitch,11.89787
168024,hmd_pitch,23.08665
169025,hmd_pitch,23.97694
170035,hmd_pitch,23.11849
171033,hmd_pitch,19.33052
172034,hmd_pitch,17.6753
173034,hmd_pitch,15.2201
174028,hmd_pitch,15.18956
175034,hmd_pitch,16.08148
176030,hmd_pitch,15.9834
177032,hmd_pitch,18.89219
178032,hmd_pitch,20.50917
179031,hmd_pitch,17.84558
180029,hmd_pitch,20.52243
181051,hmd_pitch,19.96169
181395,starting_story,4;negative
182053,hmd_pitch,20.62234
183049,hmd_pitch,19.78
184052,hmd_pitch,19.24782
185051,hmd_pitch,19.09757
186050,hmd_pitch,19.62298
187049,hmd_pitch,19.6333
188049,hmd_pitch,20.32308
189048,hmd_pitch,20.70703
190049,hmd_pitch,20.94371
191048,hmd_pitch,21.07955
192047,hmd_pitch,21.12499
193045,hmd_pitch,21.06559
194046,hmd_pitch,20.63781
195045,hmd_pitch,20.72044
196044,hmd_pitch,20.67289
197045,hmd_pitch,19.91627
198045,hmd_pitch,19.38391
199045,hmd_pitch,19.01993
200044,hmd_pitch,18.90753
201044,hmd_pitch,18.60381
202044,hmd_pitch,18.59735
203044,hmd_pitch,18.66476
204043,hmd_pitch,19.1706
205043,hmd_pitch,19.43787
206041,hmd_pitch,19.42664
207036,hmd_pitch,19.11854
208038,hmd_pitch,19.19203
209050,hmd_pitch,19.16786
210050,hmd_pitch,19.2745
211052,hmd_pitch,19.55391
212049,hmd_pitch,19.99364
213047,hmd_pitch,20.05406
214046,hmd_pitch,20.14004
215046,hmd_pitch,19.28048
216047,hmd_pitch,19.61421
216725,starting_story,11;negative
217045,hmd_pitch,19.65298
218047,hmd_pitch,19.46946
219046,hmd_pitch,19.11698
220042,hmd_pitch,18.87521
221040,hmd_pitch,18.13715
221310,starting_story,2;neutral
222044,hmd_pitch,18.85004
223043,hmd_pitch,21.23519
224043,hmd_pitch,21.31482
225045,hmd_pitch,21.01354
226044,hmd_pitch,20.68489
227042,hmd_pitch,20.2506
228043,hmd_pitch,17.04217
229043,hmd_pitch,15.31607
230042,hmd_pitch,16.23277
231038,hmd_pitch,20.85994
232041,hmd_pitch,19.68938
233051,hmd_pitch,19.64315
234049,hmd_pitch,19.35686
235050,hmd_pitch,19.43363
236050,hmd_pitch,19.38621
237048,hmd_pitch,19.03309
