time,event,value
-1,button_pressed,left;repeat
-1,button_pressed,right;next
0,participant_id,2b2ab812-031c-4870-8612-66f1e5cafc9c
0,condition,negative
1,lessons,2;5;1;3;4
673,starting_story,9;neutral
991,hmd_pitch,4.439035
1993,hmd_pitch,4.225591
2993,hmd_pitch,0.5583567
4003,hmd_pitch,5.236061
5002,hmd_pitch,5.4342
6002,hmd_pitch,6.038414
7003,hmd_pitch,2.984418
8002,hmd_pitch,359.3423
9000,hmd_pitch,0.874204
10000,hmd_pitch,6.495214
11000,hmd_pitch,8.136733
12006,hmd_pitch,8.280587
13010,hmd_pitch,3.435435
14010,hmd_pitch,5.335219
15008,hmd_pitch,6.222528
16020,hmd_pitch,7.336282
17019,hmd_pitch,6.35541
18018,hmd_pitch,5.574107
19018,hmd_pitch,6.416703
20019,hmd_pitch,6.276977
21017,hmd_pitch,2.361534
22018,hmd_pitch,8.131347
23016,hmd_pitch,356.7979
24015,hmd_pitch,358.5777
25016,hmd_pitch,359.4382
26017,hmd_pitch,359.1579
27013,hmd_pitch,359.7682
28009,hmd_pitch,0.0565258
29013,hmd_pitch,359.8413
30013,hmd_pitch,-0.0001245442
31014,hmd_pitch,359.7126
32014,hmd_pitch,0.4686198
33011,hmd_pitch,1.484153
34010,hmd_pitch,1.260989
35010,hmd_pitch,2.351747
36011,hmd_pitch,3.036746
37010,hmd_pitch,2.797112
38011,hmd_pitch,1.684743
38299,starting_story,2;neutral
39012,hmd_pitch,10.81442
40021,hmd_pitch,12.8085
41021,hmd_pitch,13.98741
42019,hmd_pitch,14.92921
43020,hmd_pitch,12.65134
44018,hmd_pitch,12.78038
45018,hmd_pitch,11.5587
46017,hmd_pitch,11.24497
47018,hmd_pitch,7.332622
48017,hmd_pitch,7.961427
49016,hmd_pitch,8.042441
50015,hmd_pitch,10.38201
51015,hmd_pitch,10.8154
52015,hmd_pitch,11.81553
53013,hmd_pitch,11.13908
54014,hmd_pitch,11.88435
55013,hmd_pitch,11.49835
56013,hmd_pitch,11.07021
57014,hmd_pitch,11.36034
58013,hmd_pitch,10.95737
59010,hmd_pitch,10.86995
60012,hmd_pitch,10.69527
61011,hmd_pitch,10.53804
62010,hmd_pitch,9.879483
63012,hmd_pitch,10.32848
64021,hmd_pitch,10.31576
65022,hmd_pitch,11.11377
66020,hmd_pitch,10.75646
67018,hmd_pitch,11.19069
68019,hmd_pitch,10.27526
69017,hmd_pitch,10.80968
70017,hmd_pitch,10.47524
71018,hmd_pitch,11.19674
72038,hmd_pitch,11.18705
73039,hmd_pitch,11.0331
74035,hmd_pitch,11.07335
75047,hmd_pitch,10.16742
76049,hmd_pitch,10.38535
77048,hmd_pitch,10.10266
78048,hmd_pitch,10.20776
79047,hmd_pitch,10.59238
80047,hmd_pitch,10.72732
81045,hmd_pitch,10.40048
82047,hmd_pitch,10.32212
83045,hmd_pitch,10.20953
83379,starting_story,6;neutral
84044,hmd_pitch,10.2955
85045,hmd_pitch,17.03903
86044,hmd_pitch,17.67492
87038,hmd_pitch,16.31346
88044,hmd_pitch,13.17755
89043,hmd_pitch,14.30274
90042,hmd_pitch,11.76226
91042,hmd_pitch,12.60607
91598,button_pressed,right;next
