time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,4ae8a006-8fd6-47cc-b1f0-1f6c50a87654
0,condition,positive
0,lessons,1;4;3;5;2
677,starting_story,9;neutral
999,hmd_pitch,3.499136
1999,hmd_pitch,4.671017
2999,hmd_pitch,4.806021
3997,hmd_pitch,3.717424
4997,hmd_pitch,4.339411
5997,hmd_pitch,3.717997
6997,hmd_pitch,4.278902
7995,hmd_pitch,4.332792
8995,hmd_pitch,4.11327
9994,hmd_pitch,12.07115
10993,hmd_pitch,12.73563
12006,hmd_pitch,12.90098
13005,hmd_pitch,11.57235
14003,hmd_pitch,10.57374
15003,hmd_pitch,10.46161
16003,hmd_pitch,6.583868
17002,hmd_pitch,6.679023
18002,hmd_pitch,6.637965
19001,hmd_pitch,6.530765
19999,hmd_pitch,6.588293
21000,hmd_pitch,6.378484
22000,hmd_pitch,6.49282
22999,hmd_pitch,7.977996
23999,hmd_pitch,7.767465
24998,hmd_pitch,7.743172
25996,hmd_pitch,7.29862
26999,hmd_pitch,7.361084
27997,hmd_pitch,7.152917
28997,hmd_pitch,6.658831
29996,hmd_pitch,7.213477
30996,hmd_pitch,6.994176
31996,hmd_pitch,7.152557
32995,hmd_pitch,6.856537
33995,hmd_pitch,6.568225
34994,hmd_pitch,6.465924
35994,hmd_pitch,6.347534
36993,hmd_pitch,11.38924
37993,hmd_pitch,9.610643
38293,starting_story,1;neutral
38993,hmd_pitch,9.683676
39993,hmd_pitch,16.33069
40991,hmd_pitch,16.05268
42011,hmd_pitch,16.04784
43014,hmd_pitch,16.46459
44012,hmd_pitch,15.10028
45013,hmd_pitch,14.17908
46012,hmd_pitch,13.73139
47010,hmd_pitch,13.61639
48010,hmd_pitch,13.65489
49010,hmd_pitch,12.84994
50010,hmd_pitch,12.99078
51009,hmd_pitch,12.7078
52008,hmd_pitch,11.55252
53008,hmd_pitch,11.67543
54008,hmd_pitch,11.32677
55008,hmd_pitch,11.43601
56006,hmd_pitch,10.93337
57007,hmd_pitch,11.42037
58006,hmd_pitch,11.05313
59016,hmd_pitch,10.96027
60016,hmd_pitch,11.01865
61016,hmd_pitch,10.72791
62014,hmd_pitch,10.58957
63015,hmd_pitch,10.58217
64015,hmd_pitch,10.74607
65015,hmd_pitch,10.78246
66013,hmd_pitch,10.55434
67013,hmd_pitch,10.45426
68012,hmd_pitch,10.42225
69012,hmd_pitch,10.39934
70012,hmd_pitch,10.27076
71023,hmd_pitch,10.00241
72023,hmd_pitch,10.07835
73023,hmd_pitch,10.13466
73952,starting_story,6;neutral
74022,hmd_pitch,9.494353
75022,hmd_pitch,10.03539
76020,hmd_pitch,9.873111
77020,hmd_pitch,9.513783
78019,hmd_pitch,9.395235
79018,hmd_pitch,9.349276
79973,button_pressed,left;repeat
80017,hmd_pitch,9.170504
81016,hmd_pitch,9.410852
82017,hmd_pitch,9.155152
83012,hmd_pitch,9.131523
84017,hmd_pitch,9.084208
85016,hmd_pitch,6.890156
86016,hmd_pitch,8.819177
87015,hmd_pitch,9.700637
88013,hmd_pitch,10.03841
89014,hmd_pitch,10.26264
90015,hmd_pitch,10.74818
90082,button_pressed,left;repeat
90083,repeat_lesson,True
90083,starting_story,8;positive
91012,hmd_pitch,9.274835
92011,hmd_pitch,9.651949
93012,hmd_pitch,9.607358
94012,hmd_pitch,9.042928
95022,hmd_pitch,9.012074
95700,starting_story,1;positive
96021,hmd_pitch,8.86992
97022,hmd_pitch,9.681142
98021,hmd_pitch,9.372803
99021,hmd_pitch,8.981488
100020,hmd_pitch,9.454883
101020,hmd_pitch,9.146087
102041,hmd_pitch,8.833562
103042,hmd_pitch,9.008582
104041,hmd_pitch,8.813021
105041,hmd_pitch,8.754154
106041,hmd_pitch,8.802369
107041,hmd_pitch,8.55267
108040,hmd_pitch,8.579206
109039,hmd_pitch,8.287306
110035,hmd_pitch,8.572429
111037,hmd_pitch,8.045556
112037,hmd_pitch,7.894047
113037,hmd_pitch,8.173975
114037,hmd_pitch,8.015359
115036,hmd_pitch,8.252016
116035,hmd_pitch,8.342073
117035,hmd_pitch,7.058047
118045,hmd_pitch,7.298142
119045,hmd_pitch,7.476166
120044,hmd_pitch,7.252263
121045,hmd_pitch,7.168266
122044,hmd_pitch,7.217846
123044,hmd_pitch,7.104006
124043,hmd_pitch,7.40702
125042,hmd_pitch,7.052789
126042,hmd_pitch,6.960974
127041,hmd_pitch,7.12811
128042,hmd_pitch,6.618799
129041,hmd_pitch,6.140246
130035,hmd_pitch,6.452744
131041,hmd_pitch,6.265236
132041,hmd_pitch,6.365457
133041,hmd_pitch,6.402585
134037,hmd_pitch,6.246435
135039,hmd_pitch,6.403494
136039,hmd_pitch,6.07784
137036,hmd_pitch,6.174459
138036,hmd_pitch,6.164101
139036,hmd_pitch,5.9997
139903,starting_story,11;positive
140035,hmd_pitch,6.259292
141036,hmd_pitch,6.480961
142029,hmd_pitch,6.604208
143036,hmd_pitch,6.796176
144034,hmd_pitch,6.697575
144357,starting_story,4;neutral
145035,hmd_pitch,13.94296
146033,hmd_pitch,18.39861
147033,hmd_pitch,17.20944
148031,hmd_pitch,17.45578
149032,hmd_pitch,17.2773
150031,hmd_pitch,17.06315
151031,hmd_pitch,16.82284
152030,hmd_pitch,16.90185
153031,hmd_pitch,16.64282
154042,hmd_pitch,16.4562
155042,hmd_pitch,16.5152
156041,hmd_pitch,15.90448
157040,hmd_pitch,15.79471
158041,hmd_pitch,15.50286
159039,hmd_pitch,13.96988
160039,hmd_pitch,14.9322
161039,hmd_pitch,14.79494
162055,hmd_pitch,14.60423
163059,hmd_pitch,14.65378
164058,hmd_pitch,14.52654
165059,hmd_pitch,14.44101
166060,hmd_pitch,14.33763
167058,hmd_pitch,14.13022
168058,hmd_pitch,14.25957
169057,hmd_pitch,13.86884
170055,hmd_pitch,13.73126
171054,hmd_pitch,13.90159
172056,hmd_pitch,13.48264
173053,hmd_pitch,13.54891
174054,hmd_pitch,13.28504
174466,starting_story,6;neutral
175054,hmd_pitch,13.27375
176054,hmd_pitch,13.44396
177054,hmd_pitch,13.1688
178053,hmd_pitch,13.30817
179051,hmd_pitch,12.39537
180051,hmd_pitch,12.89352
180318,button_pressed,left;repeat
181051,hmd_pitch,13.31636
182050,hmd_pitch,12.67702
182494,button_pressed,right;next
182495,repeat_lesson,False
182495,starting_story,7;positive
183051,hmd_pitch,8.9022
184050,hmd_pitch,7.976962
185049,hmd_pitch,8.908572
186048,hmd_pitch,8.511254
186281,button_pressed,right;next
187049,hmd_pitch,8.870114
188048,hmd_pitch,8.988897
189042,hmd_pitch,8.90409
190047,hmd_pitch,8.977497
191046,hmd_pitch,9.021441
191646,starting_story,11;positive
192046,hmd_pitch,8.879725
193045,hmd_pitch,8.882877
194045,hmd_pitch,9.068329
195044,hmd_pitch,8.541937
196044,hmd_pitch,8.838498
196111,starting_story,3;neutral
197044,hmd_pitch,8.868412
198044,hmd_pitch,9.005878
199043,hmd_pitch,9.090746
200042,hmd_pitch,9.34923
201036,hmd_pitch,9.30397
202042,hmd_pitch,9.229227
203042,hmd_pitch,9.494997
204041,hmd_pitch,9.716672
205041,hmd_pitch,9.468937
206041,hmd_pitch,9.796185
207041,hmd_pitch,9.429739
208041,hmd_pitch,9.389897
209039,hmd_pitch,9.136705
210038,hmd_pitch,8.95525
211038,hmd_pitch,9.11149
212038,hmd_pitch,8.874045
213046,hmd_pitch,8.968533
214049,hmd_pitch,8.978778
215047,hmd_pitch,8.942764
216046,hmd_pitch,8.932079
217045,hmd_pitch,8.768856
218045,hmd_pitch,8.74419
219045,hmd_pitch,8.601748
220045,hmd_pitch,8.506805
221044,hmd_pitch,8.767226
222064,hmd_pitch,8.631329
223065,hmd_pitch,8.669652
224065,hmd_pitch,8.837474
225066,hmd_pitch,8.754107
226064,hmd_pitch,8.832833
227063,hmd_pitch,8.284065
228064,hmd_pitch,8.530558
229062,hmd_pitch,8.477797
229329,starting_story,6;neutral
230063,hmd_pitch,8.365963
231062,hmd_pitch,8.478568
232062,hmd_pitch,8.592497
233059,hmd_pitch,8.685136
234061,hmd_pitch,8.772687
234870,button_pressed,right;next
