time,event,value
-1,button_pressed,right;next
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,4ef9f865-57d6-443b-aeec-52cf989208d4
0,condition,negative
1,lessons,3;2;1;4;5
678,starting_story,9;neutral
994,hmd_pitch,0.3268901
1998,hmd_pitch,359.278
3007,hmd_pitch,358.8621
4007,hmd_pitch,358.426
5007,hmd_pitch,0.2889167
6007,hmd_pitch,0.4063675
7005,hmd_pitch,0.5515745
8004,hmd_pitch,0.238686
9004,hmd_pitch,359.9331
10003,hmd_pitch,-0.0001399122
11005,hmd_pitch,6.048464
12002,hmd_pitch,7.92026
13002,hmd_pitch,0.1790378
14003,hmd_pitch,358.9876
15002,hmd_pitch,359.2086
16001,hmd_pitch,5.452829
17002,hmd_pitch,0.477212
18001,hmd_pitch,357.8351
19001,hmd_pitch,1.715235
20000,hmd_pitch,1.747017
21000,hmd_pitch,3.088215
21997,hmd_pitch,5.322978
22999,hmd_pitch,7.371688
23998,hmd_pitch,5.402947
24998,hmd_pitch,11.02932
25997,hmd_pitch,8.752833
26998,hmd_pitch,7.534358
27996,hmd_pitch,3.806254
28994,hmd_pitch,4.423948
29995,hmd_pitch,0.4675454
30996,hmd_pitch,359.4294
31996,hmd_pitch,359.6825
32995,hmd_pitch,359.6917
33994,hmd_pitch,0.2739396
34992,hmd_pitch,0.1110814
35991,hmd_pitch,359.8567
36993,hmd_pitch,0.0481998
37991,hmd_pitch,0.1627259
38302,starting_story,3;neutral
39005,hmd_pitch,2.45226
40001,hmd_pitch,19.53702
41001,hmd_pitch,18.84675
42002,hmd_pitch,17.73634
43001,hmd_pitch,17.84582
44018,hmd_pitch,18.0907
45021,hmd_pitch,17.93227
46022,hmd_pitch,17.76033
47022,hmd_pitch,17.82713
48021,hmd_pitch,17.73977
49020,hmd_pitch,17.89761
50020,hmd_pitch,17.90356
51017,hmd_pitch,15.35718
52019,hmd_pitch,14.67929
53018,hmd_pitch,14.98864
54017,hmd_pitch,14.18411
55017,hmd_pitch,14.31552
56017,hmd_pitch,14.92511
57019,hmd_pitch,14.74931
58017,hmd_pitch,14.59888
59016,hmd_pitch,14.53373
60017,hmd_pitch,14.93682
61016,hmd_pitch,14.97721
62015,hmd_pitch,15.03334
63009,hmd_pitch,14.8973
64014,hmd_pitch,14.38316
65013,hmd_pitch,14.40246
66012,hmd_pitch,14.4031
67013,hmd_pitch,14.49952
68010,hmd_pitch,13.66918
69011,hmd_pitch,13.63131
70011,hmd_pitch,13.6201
71011,hmd_pitch,14.20925
71523,starting_story,6;neutral
72011,hmd_pitch,14.4789
73009,hmd_pitch,16.37596
74010,hmd_pitch,19.07112
75020,hmd_pitch,21.2254
76020,hmd_pitch,21.5081
77019,hmd_pitch,21.52005
77308,button_pressed,right;next
78019,hmd_pitch,15.58356
79018,hmd_pitch,16.9575
80018,hmd_pitch,18.57228
80239,button_pressed,right;next
80240,repeat_lesson,False
80240,starting_story,7;negative
81072,hmd_pitch,20.58254
82072,hmd_pitch,19.94519
83071,hmd_pitch,19.59879
84073,hmd_pitch,19.72395
85070,hmd_pitch,4.920557
86071,hmd_pitch,8.319299
87065,hmd_pitch,9.745274
88069,hmd_pitch,9.534357
89069,hmd_pitch,10.12629
90067,hmd_pitch,10.56805
91069,hmd_pitch,10.63271
92066,hmd_pitch,11.17235
93089,hmd_pitch,12.08461
94088,hmd_pitch,12.73896
95088,hmd_pitch,12.98031
96088,hmd_pitch,6.88777
