time,event,value
-1,button_pressed,left;repeat
-1,button_pressed,left;repeat
-1,button_pressed,right;next
0,participant_id,6799125c-30ba-42d8-b244-93f2d4c610d7
0,condition,negative
1,lessons,5;4;2;1;3
670,starting_story,9;neutral
994,hmd_pitch,17.47106
1991,hmd_pitch,16.41095
2991,hmd_pitch,11.89937
3988,hmd_pitch,13.04363
4990,hmd_pitch,15.94995
5988,hmd_pitch,13.65209
6999,hmd_pitch,14.02954
7997,hmd_pitch,14.46345
8997,hmd_pitch,14.63024
9997,hmd_pitch,33.71621
10997,hmd_pitch,19.10153
11997,hmd_pitch,20.17359
13000,hmd_pitch,25.02662
14001,hmd_pitch,25.36324
15005,hmd_pitch,13.81993
16005,hmd_pitch,14.51814
17004,hmd_pitch,15.33715
18003,hmd_pitch,15.7496
19002,hmd_pitch,15.58492
20002,hmd_pitch,15.55909
21010,hmd_pitch,14.57751
22014,hmd_pitch,12.47094
23014,hmd_pitch,12.6726
24013,hmd_pitch,12.85913
25062,hmd_pitch,13.03734
26140,hmd_pitch,12.95973
27146,hmd_pitch,9.546164
28145,hmd_pitch,10.10685
29140,hmd_pitch,10.60709
30150,hmd_pitch,11.6112
31165,hmd_pitch,22.82711
32161,hmd_pitch,23.50233
33164,hmd_pitch,20.00381
34163,hmd_pitch,18.6217
35175,hmd_pitch,18.48237
36174,hmd_pitch,18.51226
37180,hmd_pitch,18.22422
38181,hmd_pitch,16.68238
38296,starting_story,5;neutral
39183,hmd_pitch,12.3407
40181,hmd_pitch,18.73176
41182,hmd_pitch,358.7908
42183,hmd_pitch,7.757721
43180,hmd_pitch,8.140716
44181,hmd_pitch,17.15772
45181,hmd_pitch,16.75353
46182,hmd_pitch,18.80286
47179,hmd_pitch,21.23996
48180,hmd_pitch,22.59545
49179,hmd_pitch,20.13177
50189,hmd_pitch,21.88255
51188,hmd_pitch,24.19171
52187,hmd_pitch,24.47349
53187,hmd_pitch,25.6622
54185,hmd_pitch,24.98296
55186,hmd_pitch,24.53413
56186,hmd_pitch,16.50714
57187,hmd_pitch,20.9115
58181,hmd_pitch,22.28145
59186,hmd_pitch,24.63969
60186,hmd_pitch,27.71925
61186,hmd_pitch,26.47496
62183,hmd_pitch,24.91277
63190,hmd_pitch,24.12242
64201,hmd_pitch,24.82004
65203,hmd_pitch,25.63143
66203,hmd_pitch,25.48946
67204,hmd_pitch,22.3683
68204,hmd_pitch,21.11106
69203,hmd_pitch,20.60711
70204,hmd_pitch,21.05942
71204,hmd_pitch,20.79719
72200,hmd_pitch,21.89474
73280,hmd_pitch,21.96353
74466,hmd_pitch,21.77872
75597,hmd_pitch,21.37862
76600,hmd_pitch,21.89563
77599,hmd_pitch,22.26291
78598,hmd_pitch,22.41353
79600,hmd_pitch,22.86294
80598,hmd_pitch,23.12832
81600,hmd_pitch,23.23612
82597,hmd_pitch,23.0722
83431,starting_story,6;neutral
83596,hmd_pitch,22.9286
84596,hmd_pitch,25.25804
85598,hmd_pitch,25.95401
86599,hmd_pitch,25.48503
87606,hmd_pitch,26.824
87923,button_pressed,left;repeat
88601,hmd_pitch,26.73106
89189,button_pressed,left;repeat
89672,hmd_pitch,26.66261
90671,hmd_pitch,26.50151
91315,button_pressed,left;repeat
91316,repeat_lesson,True
91317,starting_story,8;negative
91673,hmd_pitch,26.37571
92670,hmd_pitch,22.35896
93354,button_pressed,left;repeat
93666,hmd_pitch,22.65207
94670,hmd_pitch,22.48115
95671,hmd_pitch,18.90537
96669,hmd_pitch,17.58267
97669,hmd_pitch,9.081926
98668,hmd_pitch,8.82181
99668,hmd_pitch,16.51068
100667,hmd_pitch,16.69007
101666,hmd_pitch,16.13065
102667,hmd_pitch,14.79949
103665,hmd_pitch,14.64842
104666,hmd_pitch,11.8088
105665,hmd_pitch,11.47168
106665,hmd_pitch,11.62436
107670,hmd_pitch,12.02015
108675,hmd_pitch,24.71366
109674,hmd_pitch,15.75919
110674,hmd_pitch,12.71554
111673,hmd_pitch,12.34771
112673,hmd_pitch,15.28181
112951,starting_story,5;negative
113672,hmd_pitch,17.15144
114671,hmd_pitch,14.86275
115671,hmd_pitch,21.15536
116671,hmd_pitch,22.3816
117671,hmd_pitch,21.85686
118672,hmd_pitch,22.13956
119669,hmd_pitch,22.33126
120671,hmd_pitch,21.80529
121670,hmd_pitch,21.43208
122676,hmd_pitch,21.34886
123679,hmd_pitch,21.77386
124679,hmd_pitch,21.80637
125681,hmd_pitch,22.17721
126678,hmd_pitch,21.95622
127679,hmd_pitch,21.40896
128678,hmd_pitch,20.90718
129676,hmd_pitch,20.86138
130675,hmd_pitch,20.9579
131678,hmd_pitch,20.87406
132677,hmd_pitch,20.89611
133673,hmd_pitch,21.11576
134673,hmd_pitch,20.96623
135674,hmd_pitch,20.93343
136668,hmd_pitch,21.26435
137672,hmd_pitch,21.57423
138673,hmd_pitch,21.57652
139673,hmd_pitch,21.55301
140671,hmd_pitch,21.66996
141671,hmd_pitch,21.75058
142668,hmd_pitch,21.79629
143670,hmd_pitch,21.8482
144670,hmd_pitch,21.7401
145671,hmd_pitch,21.85043
146667,hmd_pitch,21.96284
147669,hmd_pitch,21.82701
148668,hmd_pitch,21.48164
149667,hmd_pitch,21.48653
150667,hmd_pitch,21.38793
151680,hmd_pitch,21.5555
152678,hmd_pitch,21.98743
153676,hmd_pitch,22.2175
154677,hmd_pitch,21.96923
155677,hmd_pitch,22.2285
156675,hmd_pitch,22.45194
157675,hmd_pitch,22.55118
158674,hmd_pitch,22.40864
159675,hmd_pitch,22.20965
160674,hmd_pitch,22.27074
161675,hmd_pitch,22.24444
162672,hmd_pitch,21.98117
163672,hmd_pitch,22.04981
164672,hmd_pitch,21.8881
165666,hmd_pitch,21.87241
166139,starting_story,11;negative
166671,hmd_pitch,21.84404
167670,hmd_pitch,18.43484
168670,hmd_pitch,10.75746
169670,hmd_pitch,19.20986
170668,hmd_pitch,20.40079
170725,starting_story,4;neutral
171668,hmd_pitch,21.09748
172669,hmd_pitch,21.45854
173667,hmd_pitch,22.19986
174667,hmd_pitch,21.76117
175669,hmd_pitch,21.80817
176667,hmd_pitch,22.15418
177666,hmd_pitch,22.2357
178667,hmd_pitch,21.86611
179666,hmd_pitch,21.72757
180666,hmd_pitch,21.49321
181665,hmd_pitch,21.9443
182665,hmd_pitch,22.15878
183665,hmd_pitch,22.03165
184664,hmd_pitch,22.15343
185664,hmd_pitch,22.26484
186663,hmd_pitch,22.15355
187661,hmd_pitch,22.10123
188662,hmd_pitch,22.0397
189662,hmd_pitch,22.76821
190661,hmd_pitch,22.72614
191661,hmd_pitch,22.74969
192659,hmd_pitch,22.83101
193658,hmd_pitch,23.24922
194654,hmd_pitch,23.44206
195655,hmd_pitch,23.28905
196658,hmd_pitch,23.33241
197658,hmd_pitch,23.24327
198657,hmd_pitch,23.02371
199656,hmd_pitch,22.98451
200656,hmd_pitch,22.99142
200823,starting_story,6;neutral
201656,hmd_pitch,23.26679
202655,hmd_pitch,24.57198
203653,hmd_pitch,24.52373
204655,hmd_pitch,24.49852
205652,hmd_pitch,24.36672
206341,button_pressed,right;next
206653,hmd_pitch,24.31993
207653,hmd_pitch,24.19179
208662,hmd_pitch,24.18935
209663,hmd_pitch,24.13442
210664,hmd_pitch,24.19455
211639,button_pressed,right;next
211640,repeat_lesson,False
211641,starting_story,7;negative
211666,hmd_pitch,24.9751
212662,hmd_pitch,24.43716
213660,hmd_pitch,23.15048
214660,hmd_pitch,22.07304
215659,hmd_pitch,20.60515
216656,hmd_pitch,11.62452
217661,hmd_pitch,12.21981
218657,hmd_pitch,16.66939
219659,hmd_pitch,14.28138
220658,hmd_pitch,14.14657
221659,hmd_pitch,15.11538
222656,hmd_pitch,14.9345
223656,hmd_pitch,16.58714
224655,hmd_pitch,16.59189
225655,hmd_pitch,16.61841
226656,hmd_pitch,16.44608
227654,hmd_pitch,15.50559
228654,hmd_pitch,18.46795
229654,hmd_pitch,21.66489
230654,hmd_pitch,18.35057
231653,hmd_pitch,17.50786
232652,hmd_pitch,17.21817
233652,hmd_pitch,16.94181
234173,starting_story,11;negative
234652,hmd_pitch,18.0623
235651,hmd_pitch,17.87521
236651,hmd_pitch,18.05608
237646,hmd_pitch,19.01964
238650,hmd_pitch,19.26079
238751,starting_story,2;neutral
239650,hmd_pitch,22.74595
240650,hmd_pitch,23.80894
241651,hmd_pitch,23.20337
242647,hmd_pitch,23.16186
243649,hmd_pitch,23.0442
244648,hmd_pitch,22.93018
245648,hmd_pitch,22.80992
246647,hmd_pitch,22.84649
247648,hmd_pitch,22.93536
248645,hmd_pitch,22.71109
249647,hmd_pitch,22.80461
250648,hmd_pitch,22.89964
251658,hmd_pitch,22.8006
252656,hmd_pitch,23.05879
253654,hmd_pitch,23.188
254655,hmd_pitch,23.47193
255653,hmd_pitch,23.43008
256654,hmd_pitch,23.33462
257652,hmd_pitch,23.19347
258652,hmd_pitch,23.06417
259652,hmd_pitch,23.07942
260651,hmd_pitch,23.14346
261651,hmd_pitch,23.06681
262651,hmd_pitch,23.0411
263650,hmd_pitch,23.08332
264651,hmd_pitch,22.93481
265649,hmd_pitch,22.85674
266656,hmd_pitch,22.90284
267660,hmd_pitch,22.8747
268659,hmd_pitch,22.81468
269660,hmd_pitch,22.80239
270659,hmd_pitch,22.82033
271659,hmd_pitch,22.86409
272656,hmd_pitch,22.94922
273656,hmd_pitch,23.04366
274657,hmd_pitch,23.02132
275657,hmd_pitch,22.813
276656,hmd_pitch,22.92104
277655,hmd_pitch,23.08474
278653,hmd_pitch,23.09995
279654,hmd_pitch,23.01313
280661,hmd_pitch,23.07039
281665,hmd_pitch,23.0169
282664,hmd_pitch,23.13915
283663,hmd_pitch,23.33458
283830,starting_story,6;neutral
284664,hmd_pitch,23.51985
285662,hmd_pitch,23.68747
286661,hmd_pitch,23.56114
287663,hmd_pitch,23.63586
288661,hmd_pitch,23.08278
289660,hmd_pitch,22.4953
289915,button_pressed,left;repeat
290660,hmd_pitch,22.315
291660,hmd_pitch,22.15471
291836,button_pressed,left;repeat
291837,repeat_lesson,True
291837,starting_story,8;negative
292667,hmd_pitch,19.22762
293667,hmd_pitch,8.800957
294134,button_pressed,left;repeat
294668,hmd_pitch,11.48638
295677,hmd_pitch,11.20265
296681,hmd_pitch,14.12904
297680,hmd_pitch,14.0002
298681,hmd_pitch,13.88639
299678,hmd_pitch,14.37663
300674,hmd_pitch,14.53071
301679,hmd_pitch,14.27236
302677,hmd_pitch,14.19768
303676,hmd_pitch,13.54744
304674,hmd_pitch,13.57878
305675,hmd_pitch,13.4978
306674,hmd_pitch,13.49982
307674,hmd_pitch,13.71964
308674,hmd_pitch,22.62305
309683,hmd_pitch,26.31506
310684,hmd_pitch,12.07874
311683,hmd_pitch,10.35977
312683,hmd_pitch,11.06184
313497,starting_story,2;negative
313683,hmd_pitch,11.47457
314683,hmd_pitch,20.89564
315680,hmd_pitch,24.09523
316682,hmd_pitch,25.19726
317681,hmd_pitch,25.20853
318680,hmd_pitch,24.74051
319682,hmd_pitch,25.03568
320680,hmd_pitch,25.09801
321679,hmd_pitch,25.43989
322681,hmd_pitch,24.74118
323688,hmd_pitch,23.96768
324686,hmd_pitch,23.67216
325690,hmd_pitch,23.79681
326686,hmd_pitch,22.91713
327689,hmd_pitch,22.65243
328687,hmd_pitch,22.99106
329688,hmd_pitch,23.18817
330687,hmd_pitch,23.27425
331685,hmd_pitch,23.15036
332684,hmd_pitch,23.0498
333685,hmd_pitch,22.85218
334684,hmd_pitch,22.87537
335684,hmd_pitch,22.83363
336685,hmd_pitch,22.53939
337683,hmd_pitch,22.20222
338694,hmd_pitch,22.17742
339690,hmd_pitch,21.86784
340693,hmd_pitch,22.10625
341692,hmd_pitch,21.95851
342690,hmd_pitch,22.12734
343690,hmd_pitch,22.41806
344690,hmd_pitch,22.30891
345688,hmd_pitch,22.08362
346689,hmd_pitch,22.41751
347688,hmd_pitch,22.57639
348689,hmd_pitch,22.58093
349690,hmd_pitch,22.60996
350689,hmd_pitch,22.65797
351688,hmd_pitch,22.61834
352698,hmd_pitch,22.41053
353699,hmd_pitch,22.51901
354698,hmd_pitch,22.76885
355698,hmd_pitch,22.3548
356696,hmd_pitch,21.97203
357698,hmd_pitch,17.52805
358696,hmd_pitch,16.45897
359695,hmd_pitch,17.10877
360696,hmd_pitch,19.08961
361692,hmd_pitch,19.89525
362691,hmd_pitch,20.34626
363691,hmd_pitch,20.76083
364693,hmd_pitch,21.01156
365690,hmd_pitch,20.97588
365882,starting_story,11;negative
366688,hmd_pitch,21.00617
367688,hmd_pitch,20.40047
368690,hmd_pitch,20.2513
369690,hmd_pitch,20.42248
370467,starting_story,1;neutral
370690,hmd_pitch,21.709
371689,hmd_pitch,22.13816
372688,hmd_pitch,21.30855
373688,hmd_pitch,22.02199
374687,hmd_pitch,22.38516
375688,hmd_pitch,22.5017
376689,hmd_pitch,22.46876
377689,hmd_pitch,22.46875
378687,hmd_pitch,22.54888
379686,hmd_pitch,22.67505
380684,hmd_pitch,22.80707
381696,hmd_pitch,22.62798
382698,hmd_pitch,22.64911
383697,hmd_pitch,22.57133
384693,hmd_pitch,22.53289
385694,hmd_pitch,22.54457
386697,hmd_pitch,22.49184
387692,hmd_pitch,22.46362
388689,hmd_pitch,22.30716
389692,hmd_pitch,22.60791
390690,hmd_pitch,22.58183
391691,hmd_pitch,22.28211
392691,hmd_pitch,22.34191
393690,hmd_pitch,22.38149
394689,hmd_pitch,22.26669
395699,hmd_pitch,22.41969
396700,hmd_pitch,22.33876
397700,hmd_pitch,22.57438
398699,hmd_pitch,22.47808
399698,hmd_pitch,22.34974
400701,hmd_pitch,20.44298
401699,hmd_pitch,18.52906
402699,hmd_pitch,19.16576
403701,hmd_pitch,19.68381
404699,hmd_pitch,19.7165
405698,hmd_pitch,19.655
406141,starting_story,6;neutral
406698,hmd_pitch,19.71948
407697,hmd_pitch,20.54704
408696,hmd_pitch,20.51614
409704,hmd_pitch,20.59544
410703,hmd_pitch,23.97131
411694,button_pressed,right;next
411704,hmd_pitch,23.57455
412705,hmd_pitch,23.30732
413703,hmd_pitch,23.43568
413836,button_pressed,right;next
413837,repeat_lesson,False
413837,starting_story,7;negative
414703,hmd_pitch,23.37018
415702,hmd_pitch,20.14371
416702,hmd_pitch,18.86728
417701,hmd_pitch,19.13646
418702,hmd_pitch,18.50163
419701,hmd_pitch,18.65001
420699,hmd_pitch,19.39188
421701,hmd_pitch,19.35267
422700,hmd_pitch,18.42885
423699,hmd_pitch,18.45407
424711,hmd_pitch,36.63416
425710,hmd_pitch,16.57484
426709,hmd_pitch,13.34808
427710,hmd_pitch,15.73565
428709,hmd_pitch,15.9159
429707,hmd_pitch,16.38943
430707,hmd_pitch,16.11728
431706,hmd_pitch,16.77246
432705,hmd_pitch,17.03362
433706,hmd_pitch,16.78384
434704,hmd_pitch,16.66968
435708,hmd_pitch,16.4857
436372,starting_story,11;negative
436704,hmd_pitch,17.13501
437704,hmd_pitch,17.31767
438715,hmd_pitch,17.91843
439714,hmd_pitch,18.65709
440716,hmd_pitch,19.04332
440949,starting_story,3;neutral
441714,hmd_pitch,21.07366
442709,hmd_pitch,22.48921
443711,hmd_pitch,22.7036
444714,hmd_pitch,22.57437
445714,hmd_pitch,22.51406
446715,hmd_pitch,22.89993
447716,hmd_pitch,23.27122
448711,hmd_pitch,23.57891
449714,hmd_pitch,23.66091
450710,hmd_pitch,23.59981
451709,hmd_pitch,23.5368
452717,hmd_pitch,24.44937
453719,hmd_pitch,24.57307
454721,hmd_pitch,24.78374
455718,hmd_pitch,24.75867
456719,hmd_pitch,24.79243
457718,hmd_pitch,24.88212
458717,hmd_pitch,24.89267
459718,hmd_pitch,24.62679
460717,hmd_pitch,24.51342
461716,hmd_pitch,24.45544
462718,hmd_pitch,24.60312
463716,hmd_pitch,24.59565
464712,hmd_pitch,24.59336
465714,hmd_pitch,24.69106
