time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,80099f60-4d9a-4276-bc00-7b5ded411ffe
0,condition,negative
2,lessons,4;1;3;5;2
675,starting_story,9;neutral
996,hmd_pitch,11.18131
1995,hmd_pitch,5.278815
2995,hmd_pitch,3.693117
4004,hmd_pitch,357.6947
5005,hmd_pitch,2.867496
6004,hmd_pitch,28.55918
7006,hmd_pitch,31.0173
8004,hmd_pitch,27.55285
9003,hmd_pitch,6.41615
10002,hmd_pitch,359.5918
11003,hmd_pitch,359.5027
12002,hmd_pitch,4.101588
13001,hmd_pitch,2.800328
14000,hmd_pitch,356.0138
14999,hmd_pitch,356.0737
15995,hmd_pitch,350.4954
17000,hmd_pitch,357.5117
17998,hmd_pitch,357.7279
18997,hmd_pitch,357.798
19999,hmd_pitch,357.1292
20996,hmd_pitch,2.633757
21996,hmd_pitch,359.3279
22996,hmd_pitch,353.4906
23996,hmd_pitch,359.8018
24995,hmd_pitch,0.3332491
25995,hmd_pitch,15.08473
26995,hmd_pitch,12.91202
27989,hmd_pitch,2.902235
28993,hmd_pitch,1.478041
29995,hmd_pitch,1.181033
30992,hmd_pitch,0.7654917
31992,hmd_pitch,359.7972
32992,hmd_pitch,359.8725
33991,hmd_pitch,359.6919
34990,hmd_pitch,358.4373
35990,hmd_pitch,0.663361
37001,hmd_pitch,0.003185803
38001,hmd_pitch,358.5953
38289,starting_story,4;neutral
38997,hmd_pitch,5.352107
39994,hmd_pitch,21.72579
41000,hmd_pitch,22.15282
42000,hmd_pitch,19.56182
43007,hmd_pitch,18.61921
44010,hmd_pitch,17.64734
45008,hmd_pitch,16.67366
46009,hmd_pitch,15.40165
47007,hmd_pitch,14.6017
48007,hmd_pitch,13.97045
49007,hmd_pitch,14.25623
50006,hmd_pitch,13.92248
51005,hmd_pitch,11.97577
52001,hmd_pitch,11.12396
53006,hmd_pitch,9.531826
54006,hmd_pitch,9.418991
55004,hmd_pitch,18.88965
56003,hmd_pitch,19.61451
57004,hmd_pitch,17.59999
58005,hmd_pitch,15.00572
59002,hmd_pitch,14.356
60001,hmd_pitch,12.57668
61001,hmd_pitch,13.59473
62003,hmd_pitch,13.96556
62999,hmd_pitch,12.94833
63999,hmd_pitch,12.46385
65000,hmd_pitch,12.19857
66000,hmd_pitch,14.73411
66998,hmd_pitch,16.54799
67999,hmd_pitch,14.68063
68388,starting_story,6;neutral
68998,hmd_pitch,14.94629
69995,hmd_pitch,14.51057
70997,hmd_pitch,18.10794
71996,hmd_pitch,22.46641
72997,hmd_pitch,21.65435
73993,hmd_pitch,22.03208
74994,hmd_pitch,20.80366
75995,hmd_pitch,20.64594
76994,hmd_pitch,20.87399
77992,hmd_pitch,20.07841
78992,hmd_pitch,19.61424
79993,hmd_pitch,20.03451
80992,hmd_pitch,19.58031
81991,hmd_pitch,18.61876
82990,hmd_pitch,18.84232
83990,hmd_pitch,19.06795
84991,hmd_pitch,16.96428
85990,hmd_pitch,17.34378
86989,hmd_pitch,17.38314
87322,button_pressed,right;next
87323,repeat_lesson,False
87323,starting_story,7;negative
88000,hmd_pitch,17.16292
88999,hmd_pitch,16.27557
89999,hmd_pitch,15.95285
90998,hmd_pitch,8.480916
91998,hmd_pitch,6.998732
92997,hmd_pitch,8.150304
93997,hmd_pitch,9.66179
94997,hmd_pitch,8.521266
95997,hmd_pitch,4.918314
96997,hmd_pitch,6.380214
97996,hmd_pitch,8.054289
98996,hmd_pitch,8.155789
100005,hmd_pitch,9.020999
101006,hmd_pitch,7.898665
102005,hmd_pitch,7.574924
103009,hmd_pitch,6.607337
104003,hmd_pitch,6.600355
105004,hmd_pitch,5.974466
106002,hmd_pitch,4.802779
107003,hmd_pitch,4.554787
108003,hmd_pitch,4.206091
109002,hmd_pitch,4.782539
109857,starting_story,11;negative
110004,hmd_pitch,11.15644
111000,hmd_pitch,10.43617
112001,hmd_pitch,10.37701
113001,hmd_pitch,9.285128
113998,hmd_pitch,9.112911
114444,starting_story,1;neutral
114999,hmd_pitch,8.954423
115999,hmd_pitch,15.8052
116998,hmd_pitch,18.33782
117998,hmd_pitch,16.7855
118996,hmd_pitch,16.76663
119997,hmd_pitch,15.31176
120997,hmd_pitch,15.14258
121995,hmd_pitch,13.93223
122992,hmd_pitch,14.2672
123995,hmd_pitch,14.55325
124996,hmd_pitch,13.79114
125994,hmd_pitch,14.57201
126994,hmd_pitch,13.9782
127993,hmd_pitch,13.03067
128993,hmd_pitch,12.77324
129993,hmd_pitch,11.32598
130993,hmd_pitch,12.15672
131991,hmd_pitch,12.54924
132990,hmd_pitch,11.84506
133990,hmd_pitch,28.13457
135002,hmd_pitch,25.49789
136002,hmd_pitch,23.49128
137001,hmd_pitch,358.2546
138001,hmd_pitch,356.373
139000,hmd_pitch,18.89463
140000,hmd_pitch,18.20337
140999,hmd_pitch,17.70101
141997,hmd_pitch,16.24867
142999,hmd_pitch,15.48841
143996,hmd_pitch,14.49641
144996,hmd_pitch,14.69233
145997,hmd_pitch,13.9867
146991,hmd_pitch,13.83507
147995,hmd_pitch,14.26039
148995,hmd_pitch,12.86875
149995,hmd_pitch,13.65799
150116,starting_story,6;neutral
150994,hmd_pitch,11.98312
151994,hmd_pitch,14.47309
152993,hmd_pitch,23.27524
153994,hmd_pitch,22.96907
154992,hmd_pitch,22.68312
155992,hmd_pitch,21.13176
156992,hmd_pitch,20.7177
157503,button_pressed,right;next
157504,repeat_lesson,False
157504,starting_story,7;negative
157990,hmd_pitch,18.7546
158987,hmd_pitch,16.6732
159990,hmd_pitch,11.92206
160990,hmd_pitch,11.81387
161990,hmd_pitch,11.31253
163006,hmd_pitch,0.5695658
163999,hmd_pitch,10.33569
165000,hmd_pitch,12.22078
165999,hmd_pitch,14.73457
166998,hmd_pitch,9.55868
167997,hmd_pitch,3.303197
168997,hmd_pitch,4.50785
169997,hmd_pitch,11.65088
170997,hmd_pitch,9.607946
171996,hmd_pitch,8.866974
172996,hmd_pitch,7.759012
173995,hmd_pitch,7.623956
174996,hmd_pitch,7.114406
175994,hmd_pitch,6.537195
176993,hmd_pitch,6.394151
177993,hmd_pitch,5.998024
178991,hmd_pitch,4.82467
179990,hmd_pitch,15.01747
180023,starting_story,11;negative
180991,hmd_pitch,14.72991
181992,hmd_pitch,11.01022
182992,hmd_pitch,12.00196
183990,hmd_pitch,11.01963
184614,starting_story,3;neutral
184991,hmd_pitch,11.59999
185990,hmd_pitch,22.20083
186989,hmd_pitch,21.34846
187989,hmd_pitch,21.24489
188989,hmd_pitch,20.61801
189989,hmd_pitch,20.3047
190990,hmd_pitch,19.93385
191987,hmd_pitch,19.22177
192987,hmd_pitch,19.07497
193986,hmd_pitch,17.7151
194986,hmd_pitch,17.07378
195986,hmd_pitch,16.51446
196985,hmd_pitch,17.51902
197984,hmd_pitch,16.52576
198984,hmd_pitch,17.1967
199984,hmd_pitch,14.05789
200984,hmd_pitch,16.41588
201983,hmd_pitch,18.58439
202981,hmd_pitch,17.38419
203981,hmd_pitch,26.15715
204980,hmd_pitch,29.53488
205992,hmd_pitch,28.38388
206992,hmd_pitch,26.48289
207991,hmd_pitch,25.50034
208990,hmd_pitch,24.29656
209991,hmd_pitch,24.1315
210989,hmd_pitch,23.24573
211988,hmd_pitch,22.92677
212988,hmd_pitch,22.81342
213989,hmd_pitch,22.14561
214989,hmd_pitch,14.04447
215986,hmd_pitch,18.5868
216987,hmd_pitch,21.72644
217841,starting_story,6;neutral
217997,hmd_pitch,19.98079
218997,hmd_pitch,0.7585391
219997,hmd_pitch,344.8767
220996,hmd_pitch,344.701
221996,hmd_pitch,345.0536
223011,hmd_pitch,346.2693
224006,hmd_pitch,346.4352
225006,hmd_pitch,17.47003
226007,hmd_pitch,16.66589
227003,hmd_pitch,16.98367
228005,hmd_pitch,17.34711
229005,hmd_pitch,16.32524
230009,hmd_pitch,15.92676
230167,button_pressed,left;repeat
230168,repeat_lesson,True
230169,starting_story,8;negative
231014,hmd_pitch,14.61809
232013,hmd_pitch,13.48675
233014,hmd_pitch,11.94951
234013,hmd_pitch,2.625175
235014,hmd_pitch,358.2647
236012,hmd_pitch,2.725802
