time,event,value
-1,button_pressed,right;next
-1,button_pressed,right;next
-1,button_pressed,left;repeat
-1,button_pressed,right;next
0,participant_id,945bb100-c86a-439f-b0fe-ea81f166f9e6
0,condition,positive
0,lessons,1;5;4;2;3
667,starting_story,9;neutral
989,hmd_pitch,7.064523
1987,hmd_pitch,9.29676
2990,hmd_pitch,5.398771
4009,hmd_pitch,8.74306
5009,hmd_pitch,10.28089
6008,hmd_pitch,9.080476
7010,hmd_pitch,8.591476
8008,hmd_pitch,8.023335
9017,hmd_pitch,1.389867
10017,hmd_pitch,3.483831
11017,hmd_pitch,9.332158
12016,hmd_pitch,11.93159
13016,hmd_pitch,7.762094
14017,hmd_pitch,5.45975
15014,hmd_pitch,4.337955
16015,hmd_pitch,11.8705
17015,hmd_pitch,11.41851
18014,hmd_pitch,10.94552
19014,hmd_pitch,10.78795
20014,hmd_pitch,9.468125
21025,hmd_pitch,7.899683
22022,hmd_pitch,8.139684
23025,hmd_pitch,12.98391
24022,hmd_pitch,11.62641
25021,hmd_pitch,18.03603
26022,hmd_pitch,6.699548
27022,hmd_pitch,5.038687
28021,hmd_pitch,4.616925
29021,hmd_pitch,9.750315
30021,hmd_pitch,5.73456
31020,hmd_pitch,359.6103
32019,hmd_pitch,358.2822
33018,hmd_pitch,3.694346
34016,hmd_pitch,13.49458
35018,hmd_pitch,4.015853
36018,hmd_pitch,21.73046
37016,hmd_pitch,29.66702
38017,hmd_pitch,18.07795
38295,starting_story,1;neutral
39015,hmd_pitch,16.07662
40014,hmd_pitch,16.80713
41016,hmd_pitch,16.50182
42013,hmd_pitch,17.14223
43014,hmd_pitch,16.23801
44013,hmd_pitch,17.12415
45013,hmd_pitch,17.2831
46012,hmd_pitch,17.93049
47011,hmd_pitch,17.13679
48013,hmd_pitch,16.14123
49012,hmd_pitch,16.35633
50012,hmd_pitch,16.14327
51011,hmd_pitch,15.38033
52011,hmd_pitch,15.19169
53009,hmd_pitch,27.34453
54010,hmd_pitch,29.45939
55009,hmd_pitch,11.66531
56009,hmd_pitch,15.51451
57007,hmd_pitch,15.69493
58008,hmd_pitch,14.76577
59004,hmd_pitch,13.53707
60007,hmd_pitch,14.69336
61006,hmd_pitch,14.26615
62005,hmd_pitch,16.42497
63003,hmd_pitch,23.46135
64028,hmd_pitch,18.95208
65026,hmd_pitch,18.04671
66027,hmd_pitch,17.83858
67025,hmd_pitch,15.00617
68035,hmd_pitch,16.80479
69025,hmd_pitch,14.9334
70025,hmd_pitch,14.17124
71024,hmd_pitch,13.6243
72022,hmd_pitch,16.34729
73023,hmd_pitch,18.59666
73966,starting_story,6;neutral
74024,hmd_pitch,19.85651
75022,hmd_pitch,20.35232
76022,hmd_pitch,20.80702
77021,hmd_pitch,21.07903
78021,hmd_pitch,21.24188
79020,hmd_pitch,21.06843
80014,hmd_pitch,21.3365
81020,hmd_pitch,21.0723
82018,hmd_pitch,21.1631
82585,button_pressed,left;repeat
82586,repeat_lesson,True
82587,starting_story,8;positive
83017,hmd_pitch,21.24442
84019,hmd_pitch,21.16836
85017,hmd_pitch,20.95495
86018,hmd_pitch,20.65577
87016,hmd_pitch,20.62347
88015,hmd_pitch,20.63628
88193,starting_story,1;positive
89015,hmd_pitch,20.37155
90015,hmd_pitch,13.78703
91015,hmd_pitch,11.54041
92027,hmd_pitch,13.97022
93027,hmd_pitch,12.6036
94022,hmd_pitch,18.55676
95024,hmd_pitch,29.39964
96024,hmd_pitch,28.59867
