time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,9b5f1109-f895-4a05-b882-cf86595960c4
0,condition,positive
0,lessons,2;3;4;5;1
667,starting_story,9;neutral
993,hmd_pitch,7.088955
1993,hmd_pitch,4.201273
2992,hmd_pitch,4.303779
3990,hmd_pitch,3.872733
4991,hmd_pitch,3.942323
5989,hmd_pitch,4.001088
6991,hmd_pitch,4.032832
7990,hmd_pitch,3.856929
8988,hmd_pitch,3.924558
9989,hmd_pitch,4.126338
10989,hmd_pitch,4.122232
11987,hmd_pitch,4.04483
13010,hmd_pitch,4.053527
14009,hmd_pitch,3.928832
15009,hmd_pitch,3.423925
16009,hmd_pitch,3.443275
17007,hmd_pitch,3.586123
18009,hmd_pitch,3.765639
19008,hmd_pitch,3.738423
20007,hmd_pitch,3.565853
21006,hmd_pitch,3.011118
22007,hmd_pitch,3.087068
23005,hmd_pitch,2.8963
24005,hmd_pitch,2.809222
25005,hmd_pitch,2.791152
26004,hmd_pitch,2.646961
27004,hmd_pitch,2.751291
28004,hmd_pitch,2.692769
29003,hmd_pitch,2.786181
30002,hmd_pitch,2.979182
31002,hmd_pitch,2.777015
32003,hmd_pitch,2.771102
33001,hmd_pitch,2.669723
34000,hmd_pitch,2.7599
35001,hmd_pitch,2.278923
36000,hmd_pitch,2.959798
36999,hmd_pitch,3.103868
37999,hmd_pitch,2.859754
38287,starting_story,2;neutral
38998,hmd_pitch,6.310809
39998,hmd_pitch,8.200726
40998,hmd_pitch,8.022773
41997,hmd_pitch,7.77432
42995,hmd_pitch,7.485373
44047,hmd_pitch,7.082103
45050,hmd_pitch,6.933671
46048,hmd_pitch,6.853748
47050,hmd_pitch,6.655623
48056,hmd_pitch,6.60939
49060,hmd_pitch,6.484977
50059,hmd_pitch,6.87859
51059,hmd_pitch,6.822038
52059,hmd_pitch,6.644578
53057,hmd_pitch,6.783294
54057,hmd_pitch,6.698115
55054,hmd_pitch,6.660161
56068,hmd_pitch,6.512198
57066,hmd_pitch,6.813198
58065,hmd_pitch,7.008639
59065,hmd_pitch,6.646061
60077,hmd_pitch,6.626754
61077,hmd_pitch,6.740345
62077,hmd_pitch,6.707492
63076,hmd_pitch,6.740767
64075,hmd_pitch,6.661916
65077,hmd_pitch,6.59429
66075,hmd_pitch,6.639492
67074,hmd_pitch,6.508784
68075,hmd_pitch,7.034714
69073,hmd_pitch,7.015494
70074,hmd_pitch,7.095187
71112,hmd_pitch,6.8512
72190,hmd_pitch,6.921164
73211,hmd_pitch,6.594857
74215,hmd_pitch,6.953795
75216,hmd_pitch,6.986956
76215,hmd_pitch,6.951586
77214,hmd_pitch,6.89946
78210,hmd_pitch,7.0223
79213,hmd_pitch,6.754033
80213,hmd_pitch,6.839979
81213,hmd_pitch,6.891616
82213,hmd_pitch,6.774508
83212,hmd_pitch,6.696202
83368,starting_story,6;neutral
84222,hmd_pitch,6.588745
85221,hmd_pitch,7.144801
86224,hmd_pitch,9.132761
87221,hmd_pitch,9.245078
88221,hmd_pitch,8.439168
89218,hmd_pitch,8.757843
89897,button_pressed,right;next
89898,repeat_lesson,False
89898,starting_story,7;positive
90217,hmd_pitch,8.487012
91219,hmd_pitch,6.988958
92219,hmd_pitch,7.594033
93218,hmd_pitch,7.294824
94238,hmd_pitch,7.16502
95240,hmd_pitch,7.280213
96250,hmd_pitch,6.677026
97251,hmd_pitch,6.450049
98250,hmd_pitch,6.443792
99039,starting_story,11;positive
99249,hmd_pitch,6.439777
100247,hmd_pitch,6.280165
101248,hmd_pitch,6.016809
102247,hmd_pitch,5.447598
103246,hmd_pitch,5.302345
103502,starting_story,3;neutral
104247,hmd_pitch,5.722762
105245,hmd_pitch,6.270395
106245,hmd_pitch,6.74132
107246,hmd_pitch,6.264733
108256,hmd_pitch,6.640547
109254,hmd_pitch,6.60984
110257,hmd_pitch,6.689967
111255,hmd_pitch,6.713228
112255,hmd_pitch,6.850414
113255,hmd_pitch,6.940626
114254,hmd_pitch,7.39414
115252,hmd_pitch,7.407
116253,hmd_pitch,7.411525
117252,hmd_pitch,7.626597
118252,hmd_pitch,7.451923
119246,hmd_pitch,7.651718
120249,hmd_pitch,7.46868
121250,hmd_pitch,7.27279
122250,hmd_pitch,8.170832
123249,hmd_pitch,8.245977
124249,hmd_pitch,8.345284
125250,hmd_pitch,8.167449
126248,hmd_pitch,8.301531
127248,hmd_pitch,8.470294
128246,hmd_pitch,8.751423
129246,hmd_pitch,9.28738
130246,hmd_pitch,9.160908
131240,hmd_pitch,8.979169
132246,hmd_pitch,8.956297
133246,hmd_pitch,9.317903
134245,hmd_pitch,8.99872
135244,hmd_pitch,9.009154
136244,hmd_pitch,8.988479
136710,starting_story,6;neutral
137243,hmd_pitch,9.05961
138244,hmd_pitch,9.968727
139243,hmd_pitch,10.59548
140242,hmd_pitch,10.67845
141242,hmd_pitch,9.546016
142242,hmd_pitch,9.20081
143251,hmd_pitch,9.401141
144251,hmd_pitch,9.489823
144429,button_pressed,right;next
144430,repeat_lesson,False
144430,starting_story,7;positive
145250,hmd_pitch,9.443
146250,hmd_pitch,8.314401
147250,hmd_pitch,8.160254
148249,hmd_pitch,7.570491
149250,hmd_pitch,7.618522
150248,hmd_pitch,6.155132
151249,hmd_pitch,5.734432
152248,hmd_pitch,5.304729
153246,hmd_pitch,5.24479
153569,starting_story,11;positive
154269,hmd_pitch,4.843772
155279,hmd_pitch,5.238912
156279,hmd_pitch,4.911261
157279,hmd_pitch,4.93295
158024,starting_story,4;neutral
158279,hmd_pitch,4.121592
159278,hmd_pitch,5.561216
160277,hmd_pitch,5.313416
161277,hmd_pitch,6.03945
162277,hmd_pitch,6.646538
163275,hmd_pitch,6.585335
164276,hmd_pitch,6.561541
165276,hmd_pitch,6.013773
166274,hmd_pitch,6.447399
167275,hmd_pitch,6.63214
168274,hmd_pitch,7.520533
169273,hmd_pitch,7.697761
170271,hmd_pitch,8.075494
171271,hmd_pitch,8.163427
172272,hmd_pitch,8.081079
173271,hmd_pitch,7.608434
174270,hmd_pitch,7.710867
175269,hmd_pitch,7.631142
176269,hmd_pitch,7.486461
177269,hmd_pitch,7.670207
178269,hmd_pitch,7.428776
179280,hmd_pitch,7.385134
180280,hmd_pitch,7.678313
181280,hmd_pitch,7.632985
182279,hmd_pitch,7.655712
183279,hmd_pitch,7.48488
184278,hmd_pitch,7.468228
185277,hmd_pitch,7.566719
186277,hmd_pitch,7.955241
187277,hmd_pitch,7.973793
188131,starting_story,6;neutral
188286,hmd_pitch,7.907139
189286,hmd_pitch,7.993886
190281,hmd_pitch,8.047756
191285,hmd_pitch,8.313672
192285,hmd_pitch,9.255227
193285,hmd_pitch,8.897133
194284,hmd_pitch,8.661935
195284,hmd_pitch,8.337152
196282,hmd_pitch,8.547752
196538,button_pressed,left;repeat
196539,repeat_lesson,True
196540,starting_story,8;positive
197282,hmd_pitch,9.460182
198283,hmd_pitch,8.813351
199282,hmd_pitch,8.511904
200281,hmd_pitch,8.101209
201281,hmd_pitch,7.66675
202159,starting_story,4;positive
202290,hmd_pitch,7.574871
203291,hmd_pitch,7.453201
204291,hmd_pitch,7.780332
205290,hmd_pitch,7.537746
206291,hmd_pitch,7.508431
207288,hmd_pitch,7.566976
208289,hmd_pitch,7.464568
209289,hmd_pitch,7.296907
210289,hmd_pitch,7.154418
211288,hmd_pitch,7.153747
212287,hmd_pitch,7.05271
213287,hmd_pitch,7.22152
214304,hmd_pitch,6.973058
215308,hmd_pitch,6.970493
216304,hmd_pitch,7.173449
217308,hmd_pitch,7.529037
218306,hmd_pitch,8.399717
219305,hmd_pitch,8.664092
220307,hmd_pitch,8.07629
221305,hmd_pitch,7.212625
222304,hmd_pitch,7.73513
223304,hmd_pitch,8.043715
224302,hmd_pitch,8.228747
225303,hmd_pitch,8.22994
226303,hmd_pitch,8.176114
227302,hmd_pitch,8.014114
228302,hmd_pitch,8.46193
229301,hmd_pitch,8.630424
230301,hmd_pitch,9.713838
231302,hmd_pitch,10.02288
232300,hmd_pitch,9.711736
233301,hmd_pitch,9.892567
234300,hmd_pitch,9.501287
235299,hmd_pitch,9.288339
236296,hmd_pitch,9.320673
