time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,b156285e-dadc-4379-bd1a-fea2ecd3608e
0,condition,negative
1,lessons,2;4;1;5;3
670,starting_story,9;neutral
991,hmd_pitch,359.494
2001,hmd_pitch,0.4578909
3000,hmd_pitch,2.100756
4001,hmd_pitch,3.693587
5000,hmd_pitch,3.776464
6000,hmd_pitch,3.876266
7001,hmd_pitch,357.9931
7999,hmd_pitch,356.4867
8998,hmd_pitch,355.7922
9998,hmd_pitch,1.233874
10998,hmd_pitch,3.235626
11998,hmd_pitch,1.911179
13007,hmd_pitch,3.378975
14006,hmd_pitch,9.466453
15007,hmd_pitch,1.272093
16006,hmd_pitch,4.617216
17006,hmd_pitch,2.427565
18005,hmd_pitch,4.149741
19004,hmd_pitch,4.227988
20005,hmd_pitch,3.187799
21005,hmd_pitch,6.09313
22002,hmd_pitch,351.9439
23003,hmd_pitch,359.4459
24003,hmd_pitch,4.490213
24997,hmd_pitch,4.707095
26000,hmd_pitch,4.06148
27002,hmd_pitch,4.936504
28001,hmd_pitch,3.080336
29000,hmd_pitch,1.271392
30001,hmd_pitch,0.268833
31000,hmd_pitch,357.751
31998,hmd_pitch,0.8992808
32999,hmd_pitch,1.186062
33998,hmd_pitch,1.572918
34996,hmd_pitch,1.446435
35999,hmd_pitch,1.684663
37007,hmd_pitch,1.685351
38009,hmd_pitch,1.496891
38276,starting_story,2;neutral
39007,hmd_pitch,2.34661
40009,hmd_pitch,24.97037
41007,hmd_pitch,22.7237
42008,hmd_pitch,20.14189
43005,hmd_pitch,18.23956
44005,hmd_pitch,13.82701
45004,hmd_pitch,8.25621
46004,hmd_pitch,7.758592
47026,hmd_pitch,5.179252
48038,hmd_pitch,15.61953
49037,hmd_pitch,13.43287
50036,hmd_pitch,13.18165
51035,hmd_pitch,13.19271
52034,hmd_pitch,12.79177
53034,hmd_pitch,10.70105
54034,hmd_pitch,10.73598
55035,hmd_pitch,10.96313
56033,hmd_pitch,10.68667
57033,hmd_pitch,10.97985
58031,hmd_pitch,10.78424
59032,hmd_pitch,10.56847
60026,hmd_pitch,10.52706
61031,hmd_pitch,10.64481
62029,hmd_pitch,10.59701
63030,hmd_pitch,10.34154
64028,hmd_pitch,10.06371
65030,hmd_pitch,9.98443
66028,hmd_pitch,10.08267
67029,hmd_pitch,9.878823
68027,hmd_pitch,9.979178
69025,hmd_pitch,10.02508
70025,hmd_pitch,9.859788
71026,hmd_pitch,10.60308
72024,hmd_pitch,11.23138
73025,hmd_pitch,12.20622
74025,hmd_pitch,11.20508
75025,hmd_pitch,11.06943
76023,hmd_pitch,10.76652
77023,hmd_pitch,10.04277
78020,hmd_pitch,6.345247
79022,hmd_pitch,7.687455
80023,hmd_pitch,8.162383
81022,hmd_pitch,8.346033
82021,hmd_pitch,8.49255
83020,hmd_pitch,8.709133
83348,starting_story,6;neutral
84021,hmd_pitch,9.210315
85023,hmd_pitch,12.14003
86019,hmd_pitch,12.52304
87021,hmd_pitch,11.96022
88018,hmd_pitch,12.03181
89019,hmd_pitch,11.34573
90017,hmd_pitch,11.16013
91016,hmd_pitch,11.07597
92016,hmd_pitch,13.36872
93016,hmd_pitch,16.55477
93038,button_pressed,left;repeat
93039,repeat_lesson,True
93040,starting_story,8;negative
94017,hmd_pitch,16.61659
94439,button_pressed,left;repeat
95010,hmd_pitch,15.93382
96015,hmd_pitch,17.2231
97014,hmd_pitch,14.85769
98014,hmd_pitch,5.696742
99015,hmd_pitch,3.053432
100013,hmd_pitch,1.72317
101011,hmd_pitch,5.765938
102011,hmd_pitch,353.7195
103011,hmd_pitch,4.853794
104013,hmd_pitch,1.326321
105011,hmd_pitch,7.0092
106010,hmd_pitch,4.415899
107041,hmd_pitch,2.822958
108043,hmd_pitch,2.597302
109041,hmd_pitch,3.192473
110041,hmd_pitch,2.995447
111041,hmd_pitch,358.7217
112041,hmd_pitch,358.5504
113042,hmd_pitch,358.5866
114041,hmd_pitch,0.659196
114674,starting_story,2;negative
115040,hmd_pitch,0.81778
116040,hmd_pitch,13.10191
117039,hmd_pitch,18.19136
118038,hmd_pitch,14.41324
119039,hmd_pitch,14.38893
120037,hmd_pitch,13.96498
121038,hmd_pitch,13.83166
122038,hmd_pitch,11.92247
123037,hmd_pitch,6.097846
124035,hmd_pitch,354.1016
125036,hmd_pitch,16.99369
126035,hmd_pitch,16.8775
127035,hmd_pitch,15.5915
128035,hmd_pitch,15.55669
129034,hmd_pitch,13.48755
130028,hmd_pitch,13.66516
131032,hmd_pitch,11.19934
132032,hmd_pitch,11.82254
133031,hmd_pitch,11.83778
134031,hmd_pitch,11.65585
135031,hmd_pitch,6.775148
136032,hmd_pitch,8.462375
137031,hmd_pitch,8.59525
138030,hmd_pitch,8.558831
139027,hmd_pitch,8.354423
140028,hmd_pitch,8.449854
141028,hmd_pitch,8.300163
142025,hmd_pitch,8.196651
143027,hmd_pitch,7.861993
144029,hmd_pitch,359.8995
145026,hmd_pitch,3.842616
146026,hmd_pitch,6.656541
147024,hmd_pitch,7.229766
148025,hmd_pitch,7.045829
149024,hmd_pitch,6.93225
150023,hmd_pitch,6.710859
151024,hmd_pitch,6.661321
152025,hmd_pitch,7.244778
153023,hmd_pitch,6.75211
154022,hmd_pitch,6.84118
155022,hmd_pitch,6.873105
156022,hmd_pitch,6.994481
157021,hmd_pitch,6.895918
158020,hmd_pitch,6.794969
159020,hmd_pitch,7.176824
160019,hmd_pitch,7.684599
161021,hmd_pitch,7.628676
162019,hmd_pitch,7.208729
163017,hmd_pitch,6.800919
164017,hmd_pitch,6.914837
165012,hmd_pitch,7.135269
166016,hmd_pitch,7.180461
167039,hmd_pitch,6.500311
167061,starting_story,11;negative
168040,hmd_pitch,6.230184
169037,hmd_pitch,6.740201
170037,hmd_pitch,6.980856
171037,hmd_pitch,3.466259
171649,starting_story,4;neutral
172036,hmd_pitch,5.046994
173035,hmd_pitch,9.210709
174037,hmd_pitch,9.12851
175035,hmd_pitch,10.78262
176035,hmd_pitch,13.09482
177034,hmd_pitch,11.30212
178033,hmd_pitch,10.91977
179033,hmd_pitch,10.48024
180032,hmd_pitch,10.31799
181033,hmd_pitch,10.18648
182034,hmd_pitch,9.770458
183032,hmd_pitch,9.691844
184031,hmd_pitch,9.258501
185029,hmd_pitch,9.342223
186030,hmd_pitch,10.58802
187031,hmd_pitch,6.346435
188038,hmd_pitch,4.973002
189040,hmd_pitch,5.898633
190040,hmd_pitch,21.89798
191039,hmd_pitch,24.04009
192039,hmd_pitch,18.10065
193037,hmd_pitch,16.36518
194038,hmd_pitch,16.40806
195037,hmd_pitch,15.20424
196038,hmd_pitch,14.37708
197037,hmd_pitch,13.96796
198035,hmd_pitch,13.64158
199034,hmd_pitch,13.27387
200031,hmd_pitch,12.4537
201034,hmd_pitch,9.029295
201756,starting_story,6;neutral
202035,hmd_pitch,11.55123
203032,hmd_pitch,12.08797
204036,hmd_pitch,12.22602
205035,hmd_pitch,11.7702
206034,hmd_pitch,12.78014
207032,hmd_pitch,13.04261
207809,button_pressed,left;repeat
208033,hmd_pitch,13.61902
209032,hmd_pitch,12.93244
210029,hmd_pitch,8.733974
211031,hmd_pitch,21.39525
212029,hmd_pitch,17.27761
213030,hmd_pitch,18.73159
214028,hmd_pitch,13.94904
215028,hmd_pitch,13.77947
215441,button_pressed,left;repeat
215442,repeat_lesson,True
215442,starting_story,8;negative
216024,hmd_pitch,13.02049
217027,hmd_pitch,12.49898
218026,hmd_pitch,6.366877
218769,button_pressed,left;repeat
219026,hmd_pitch,3.855182
220026,hmd_pitch,5.673725
221025,hmd_pitch,0.2476061
222026,hmd_pitch,359.9278
223034,hmd_pitch,359.0967
224035,hmd_pitch,357.5119
225035,hmd_pitch,356.62
226034,hmd_pitch,357.565
227057,hmd_pitch,0.07919253
228056,hmd_pitch,359.4442
229055,hmd_pitch,359.1476
230055,hmd_pitch,359.1887
231054,hmd_pitch,359.3568
232054,hmd_pitch,359.015
233053,hmd_pitch,358.697
234054,hmd_pitch,358.5607
235064,hmd_pitch,358.5759
236063,hmd_pitch,358.4482
237063,hmd_pitch,358.186
237085,starting_story,4;negative
