time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,c7995331-4997-4971-b1e4-8110fce08fd0
0,condition,positive
0,lessons,5;3;4;2;1
668,starting_story,9;neutral
988,hmd_pitch,5.939848
1988,hmd_pitch,6.128954
2987,hmd_pitch,6.478329
3987,hmd_pitch,6.584792
4986,hmd_pitch,6.720685
5986,hmd_pitch,6.68081
6986,hmd_pitch,6.407228
7983,hmd_pitch,6.422841
8992,hmd_pitch,6.674449
9996,hmd_pitch,6.842401
10995,hmd_pitch,7.069671
11994,hmd_pitch,7.222211
12993,hmd_pitch,7.273837
13993,hmd_pitch,7.10154
14993,hmd_pitch,7.02379
15993,hmd_pitch,6.987012
16992,hmd_pitch,7.117399
17993,hmd_pitch,6.812545
18991,hmd_pitch,6.827775
19991,hmd_pitch,7.056951
21001,hmd_pitch,7.077341
22001,hmd_pitch,7.117198
22999,hmd_pitch,6.829921
23999,hmd_pitch,6.743305
25001,hmd_pitch,6.939312
25999,hmd_pitch,7.037306
27000,hmd_pitch,7.091211
27997,hmd_pitch,7.10256
28998,hmd_pitch,7.244074
29997,hmd_pitch,7.152782
30997,hmd_pitch,7.497417
31997,hmd_pitch,7.302934
32996,hmd_pitch,7.349938
33998,hmd_pitch,7.440979
34996,hmd_pitch,7.439966
35994,hmd_pitch,7.27032
36995,hmd_pitch,7.295512
37994,hmd_pitch,7.192371
38283,starting_story,5;neutral
38994,hmd_pitch,7.390827
39993,hmd_pitch,7.889914
40992,hmd_pitch,13.74954
41991,hmd_pitch,13.8694
42992,hmd_pitch,13.08931
43991,hmd_pitch,14.12253
44991,hmd_pitch,14.63895
45991,hmd_pitch,14.54029
46989,hmd_pitch,15.01628
47990,hmd_pitch,15.45982
48990,hmd_pitch,15.67764
49988,hmd_pitch,15.69309
50988,hmd_pitch,15.1977
51989,hmd_pitch,15.1164
52988,hmd_pitch,14.87861
53986,hmd_pitch,14.86983
54984,hmd_pitch,15.0401
55987,hmd_pitch,15.33743
56986,hmd_pitch,15.20497
57986,hmd_pitch,14.81892
58984,hmd_pitch,14.69336
59983,hmd_pitch,14.22233
60982,hmd_pitch,14.04432
61983,hmd_pitch,13.99587
62983,hmd_pitch,14.21878
63981,hmd_pitch,14.16824
64981,hmd_pitch,13.96007
65982,hmd_pitch,13.76846
66981,hmd_pitch,13.73118
67981,hmd_pitch,13.68093
69001,hmd_pitch,13.70414
70001,hmd_pitch,13.33373
71001,hmd_pitch,13.66807
72001,hmd_pitch,14.05098
73002,hmd_pitch,13.19073
74000,hmd_pitch,13.01123
75000,hmd_pitch,12.70503
76000,hmd_pitch,12.71084
76999,hmd_pitch,12.59494
77998,hmd_pitch,12.37141
78998,hmd_pitch,12.0131
79998,hmd_pitch,12.11543
80994,hmd_pitch,11.81034
81997,hmd_pitch,11.92968
82997,hmd_pitch,11.86242
83418,starting_story,6;neutral
83997,hmd_pitch,11.72782
84996,hmd_pitch,13.52387
85996,hmd_pitch,15.71015
86994,hmd_pitch,15.64772
87993,hmd_pitch,15.66925
88993,hmd_pitch,15.33978
89571,repeat_lesson,True
89572,starting_story,8;positive
89760,button_pressed,right;next
89994,hmd_pitch,15.58861
90991,hmd_pitch,15.86985
91992,hmd_pitch,16.06196
92991,hmd_pitch,16.03447
93990,hmd_pitch,15.42193
94989,hmd_pitch,15.69753
95180,button_pressed,right;next
95181,starting_story,5;positive
95989,hmd_pitch,15.71197
96988,hmd_pitch,15.94394
97989,hmd_pitch,16.146
98988,hmd_pitch,15.88185
99988,hmd_pitch,15.49102
100988,hmd_pitch,15.34794
101987,hmd_pitch,15.21752
102986,hmd_pitch,14.91587
103987,hmd_pitch,13.96276
104987,hmd_pitch,13.7568
105986,hmd_pitch,14.27292
106986,hmd_pitch,14.19119
107985,hmd_pitch,14.10911
108985,hmd_pitch,14.47156
109984,hmd_pitch,14.52902
110983,hmd_pitch,14.45507
111983,hmd_pitch,14.37834
112983,hmd_pitch,14.59739
113980,hmd_pitch,13.65133
114983,hmd_pitch,13.21294
115982,hmd_pitch,13.11064
116991,hmd_pitch,13.39924
117992,hmd_pitch,13.27964
118990,hmd_pitch,13.30988
119992,hmd_pitch,13.64944
120990,hmd_pitch,13.7506
121989,hmd_pitch,13.9354
122989,hmd_pitch,13.99739
123990,hmd_pitch,14.07836
124986,hmd_pitch,14.22033
125987,hmd_pitch,13.99141
126989,hmd_pitch,14.09509
127988,hmd_pitch,14.24352
129007,hmd_pitch,14.31429
130009,hmd_pitch,14.17221
131007,hmd_pitch,14.34754
132008,hmd_pitch,14.2317
133005,hmd_pitch,13.82594
134006,hmd_pitch,13.74429
135006,hmd_pitch,13.92293
136006,hmd_pitch,13.92929
137006,hmd_pitch,14.12208
138005,hmd_pitch,14.03207
139004,hmd_pitch,14.2666
140004,hmd_pitch,14.16483
141003,hmd_pitch,14.27905
142003,hmd_pitch,14.22143
143002,hmd_pitch,14.08676
144003,hmd_pitch,14.00301
145001,hmd_pitch,13.73064
146001,hmd_pitch,14.1158
147001,hmd_pitch,14.04295
147756,starting_story,11;positive
148002,hmd_pitch,13.96045
148999,hmd_pitch,14.01087
150000,hmd_pitch,14.49982
150999,hmd_pitch,14.35868
151998,hmd_pitch,14.38079
152220,starting_story,3;neutral
153010,hmd_pitch,14.34743
154009,hmd_pitch,15.0935
155008,hmd_pitch,15.15958
156009,hmd_pitch,15.31557
157008,hmd_pitch,15.62245
158006,hmd_pitch,15.86511
159007,hmd_pitch,16.00068
160006,hmd_pitch,16.08006
161016,hmd_pitch,16.17652
162018,hmd_pitch,16.28973
163017,hmd_pitch,16.0276
164021,hmd_pitch,15.88988
165026,hmd_pitch,15.73281
166025,hmd_pitch,15.82384
167025,hmd_pitch,15.86427
168025,hmd_pitch,15.45963
169024,hmd_pitch,15.22603
170023,hmd_pitch,14.67338
171024,hmd_pitch,14.83343
172023,hmd_pitch,15.21652
173023,hmd_pitch,15.70255
174021,hmd_pitch,14.99266
175022,hmd_pitch,15.02097
176016,hmd_pitch,14.72212
177021,hmd_pitch,14.4713
178020,hmd_pitch,14.14304
179018,hmd_pitch,14.07186
180019,hmd_pitch,14.17081
181018,hmd_pitch,14.20165
182018,hmd_pitch,14.30438
183017,hmd_pitch,13.49282
184018,hmd_pitch,13.25424
185016,hmd_pitch,12.84443
185450,starting_story,6;neutral
186017,hmd_pitch,12.82911
187017,hmd_pitch,14.30915
188027,hmd_pitch,15.41126
189049,hmd_pitch,15.30661
190048,hmd_pitch,15.32577
191049,hmd_pitch,15.33476
192046,hmd_pitch,15.3785
192124,button_pressed,right;next
192125,repeat_lesson,False
192125,starting_story,7;positive
193047,hmd_pitch,15.45899
194045,hmd_pitch,15.66174
195046,hmd_pitch,15.31729
196047,hmd_pitch,14.44018
197045,hmd_pitch,14.43629
198044,hmd_pitch,12.948
199044,hmd_pitch,12.65466
200055,hmd_pitch,12.31942
201054,hmd_pitch,11.69433
201276,starting_story,11;positive
202053,hmd_pitch,12.43886
203054,hmd_pitch,12.77497
204053,hmd_pitch,12.53632
205053,hmd_pitch,12.68884
205741,starting_story,4;neutral
206051,hmd_pitch,12.86718
207051,hmd_pitch,13.24141
208051,hmd_pitch,13.19203
209050,hmd_pitch,12.7903
210050,hmd_pitch,12.9698
211050,hmd_pitch,13.01728
212043,hmd_pitch,13.03148
213050,hmd_pitch,13.13453
214048,hmd_pitch,12.71642
215047,hmd_pitch,12.25162
216045,hmd_pitch,12.59676
217047,hmd_pitch,13.00307
218048,hmd_pitch,13.14501
219046,hmd_pitch,13.65462
220045,hmd_pitch,13.86775
221046,hmd_pitch,13.80592
222045,hmd_pitch,13.98199
223045,hmd_pitch,13.21223
224055,hmd_pitch,12.99833
225054,hmd_pitch,13.24861
226054,hmd_pitch,13.62838
227054,hmd_pitch,13.50831
228054,hmd_pitch,13.7051
229053,hmd_pitch,13.93795
230052,hmd_pitch,14.02726
231052,hmd_pitch,14.02406
232050,hmd_pitch,13.3582
233052,hmd_pitch,13.09639
234050,hmd_pitch,13.4057
235049,hmd_pitch,13.20862
235856,starting_story,6;neutral
236048,hmd_pitch,13.01818
237050,hmd_pitch,13.10213
238050,hmd_pitch,14.50961
