time,event,value
-1,button_pressed,left;repeat
-1,button_pressed,right;next
0,participant_id,d14bad8d-89ec-4659-97e8-b8da43c8748a
0,condition,positive
1,lessons,5;2;3;1;4
669,starting_story,9;neutral
989,hmd_pitch,34.8278
1991,hmd_pitch,26.90459
2988,hmd_pitch,30.06677
3990,hmd_pitch,34.21632
4989,hmd_pitch,32.63475
5987,hmd_pitch,28.18845
6987,hmd_pitch,13.66242
7986,hmd_pitch,11.91689
8987,hmd_pitch,11.06374
9985,hmd_pitch,12.82411
10985,hmd_pitch,13.99835
11985,hmd_pitch,13.61429
12984,hmd_pitch,18.39588
13984,hmd_pitch,24.51192
14983,hmd_pitch,15.80402
15982,hmd_pitch,13.81583
16984,hmd_pitch,13.41149
17982,hmd_pitch,14.57927
18982,hmd_pitch,13.3577
19981,hmd_pitch,13.82242
20983,hmd_pitch,12.64617
21980,hmd_pitch,13.85304
22974,hmd_pitch,13.00037
23979,hmd_pitch,12.35144
24978,hmd_pitch,12.29031
25978,hmd_pitch,12.89448
26975,hmd_pitch,13.39657
27978,hmd_pitch,19.96393
28977,hmd_pitch,26.67278
29977,hmd_pitch,28.30516
30976,hmd_pitch,9.872988
31975,hmd_pitch,7.417642
32977,hmd_pitch,8.368604
33975,hmd_pitch,9.135437
34976,hmd_pitch,9.093171
35974,hmd_pitch,8.784294
36974,hmd_pitch,9.617849
37968,hmd_pitch,10.73441
38308,starting_story,5;neutral
38973,hmd_pitch,19.99136
39973,hmd_pitch,30.15879
40973,hmd_pitch,30.44668
41972,hmd_pitch,42.03222
42972,hmd_pitch,43.84907
43970,hmd_pitch,41.12323
44971,hmd_pitch,40.83216
45970,hmd_pitch,41.04528
46969,hmd_pitch,39.63574
47970,hmd_pitch,40.32924
48968,hmd_pitch,40.62477
49968,hmd_pitch,40.19104
50967,hmd_pitch,39.86805
51967,hmd_pitch,38.69377
52978,hmd_pitch,38.07346
53977,hmd_pitch,37.53827
54973,hmd_pitch,37.30983
55976,hmd_pitch,35.95464
56976,hmd_pitch,36.90598
57976,hmd_pitch,37.77339
58975,hmd_pitch,37.29856
59975,hmd_pitch,37.11327
60975,hmd_pitch,37.20344
61973,hmd_pitch,35.87973
62974,hmd_pitch,21.14828
63973,hmd_pitch,33.90755
64973,hmd_pitch,36.47594
65974,hmd_pitch,36.51379
66967,hmd_pitch,35.90802
67971,hmd_pitch,36.92537
68970,hmd_pitch,37.22129
69970,hmd_pitch,36.95227
70970,hmd_pitch,39.14277
71969,hmd_pitch,39.57642
72969,hmd_pitch,46.17191
73968,hmd_pitch,45.17743
74968,hmd_pitch,44.1732
75966,hmd_pitch,43.93373
76966,hmd_pitch,43.69974
77967,hmd_pitch,42.55256
78968,hmd_pitch,42.42331
79965,hmd_pitch,42.2795
80966,hmd_pitch,42.47359
81964,hmd_pitch,42.90702
82964,hmd_pitch,42.63469
83443,starting_story,6;neutral
83963,hmd_pitch,30.62131
84963,hmd_pitch,40.13469
85964,hmd_pitch,38.10185
86963,hmd_pitch,42.74509
87963,hmd_pitch,37.57685
88961,hmd_pitch,37.65103
89962,hmd_pitch,40.16743
90960,hmd_pitch,38.34954
91962,hmd_pitch,45.22654
