time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,e8e251f1-93bf-4c13-be60-a3b86ed8aba1
0,condition,negative
3,lessons,4;2;3;5;1
672,starting_story,9;neutral
989,hmd_pitch,22.28481
2003,hmd_pitch,2.409578
3001,hmd_pitch,2.868786
4013,hmd_pitch,5.18459
5012,hmd_pitch,6.814448
6013,hmd_pitch,7.898026
7012,hmd_pitch,8.40892
8012,hmd_pitch,9.174308
9012,hmd_pitch,9.993987
10012,hmd_pitch,15.33163
11011,hmd_pitch,15.69609
12009,hmd_pitch,15.47667
13008,hmd_pitch,15.16073
14010,hmd_pitch,15.23009
15009,hmd_pitch,14.43122
16009,hmd_pitch,13.63437
17008,hmd_pitch,13.24296
18008,hmd_pitch,13.10346
19008,hmd_pitch,13.35376
20007,hmd_pitch,13.60553
21005,hmd_pitch,13.77599
22006,hmd_pitch,13.84794
23005,hmd_pitch,13.77728
24006,hmd_pitch,13.79825
25006,hmd_pitch,13.56231
26005,hmd_pitch,13.39338
27004,hmd_pitch,13.63494
28003,hmd_pitch,14.046
29003,hmd_pitch,14.50018
30001,hmd_pitch,14.69392
31002,hmd_pitch,14.7349
32002,hmd_pitch,14.54489
33001,hmd_pitch,14.84506
34000,hmd_pitch,14.66651
34999,hmd_pitch,14.80532
35999,hmd_pitch,13.44186
36999,hmd_pitch,13.69018
37999,hmd_pitch,14.43795
38288,starting_story,4;neutral
38999,hmd_pitch,22.04982
39998,hmd_pitch,22.07263
41009,hmd_pitch,22.28959
42009,hmd_pitch,22.67095
43008,hmd_pitch,20.28302
44007,hmd_pitch,20.71078
45007,hmd_pitch,20.04135
46006,hmd_pitch,20.46263
47007,hmd_pitch,20.71316
48006,hmd_pitch,20.49454
49004,hmd_pitch,19.44479
50006,hmd_pitch,20.24881
51001,hmd_pitch,20.66794
52002,hmd_pitch,21.34024
53003,hmd_pitch,21.94654
54003,hmd_pitch,21.70973
54999,hmd_pitch,21.93646
55998,hmd_pitch,22.25466
57001,hmd_pitch,22.03629
58001,hmd_pitch,22.26707
59001,hmd_pitch,22.39882
59999,hmd_pitch,22.44726
61000,hmd_pitch,22.7374
62009,hmd_pitch,22.90715
63009,hmd_pitch,23.09952
64009,hmd_pitch,23.02918
65008,hmd_pitch,22.90404
66009,hmd_pitch,23.05939
67009,hmd_pitch,23.01256
68009,hmd_pitch,22.86567
68385,starting_story,6;neutral
69006,hmd_pitch,23.05676
70007,hmd_pitch,24.20636
71006,hmd_pitch,25.56964
72005,hmd_pitch,26.0713
73005,hmd_pitch,26.03231
74005,hmd_pitch,25.66159
74239,button_pressed,left;repeat
75002,hmd_pitch,25.65097
76004,hmd_pitch,25.2575
77003,hmd_pitch,25.60335
78003,hmd_pitch,25.82658
79002,hmd_pitch,26.10913
79069,button_pressed,left;repeat
79070,repeat_lesson,True
79071,starting_story,8;negative
80003,hmd_pitch,23.52709
81001,hmd_pitch,24.01576
82001,hmd_pitch,25.99523
82246,button_pressed,right;next
83000,hmd_pitch,25.85687
84001,hmd_pitch,23.85818
85000,hmd_pitch,23.47392
85998,hmd_pitch,23.09928
86999,hmd_pitch,23.04784
87998,hmd_pitch,18.48709
88999,hmd_pitch,25.39459
89998,hmd_pitch,31.56851
90998,hmd_pitch,21.08529
91997,hmd_pitch,20.6384
92997,hmd_pitch,20.88754
93996,hmd_pitch,20.91631
94996,hmd_pitch,21.85719
95994,hmd_pitch,21.45391
96995,hmd_pitch,21.40977
97993,hmd_pitch,21.89036
98993,hmd_pitch,20.75084
99992,hmd_pitch,21.38891
100701,starting_story,4;negative
100992,hmd_pitch,22.94534
101991,hmd_pitch,22.338
102990,hmd_pitch,21.68303
103990,hmd_pitch,21.51014
104992,hmd_pitch,21.12577
105992,hmd_pitch,16.39276
106990,hmd_pitch,16.73502
107989,hmd_pitch,18.79614
108990,hmd_pitch,20.9457
109989,hmd_pitch,21.22682
110987,hmd_pitch,21.1988
111987,hmd_pitch,21.60361
112999,hmd_pitch,21.82561
113998,hmd_pitch,22.38591
114998,hmd_pitch,21.95016
115994,hmd_pitch,22.13682
116996,hmd_pitch,22.18953
117996,hmd_pitch,22.59208
118997,hmd_pitch,22.9566
119995,hmd_pitch,23.25974
120996,hmd_pitch,22.85483
122015,hmd_pitch,23.2745
123016,hmd_pitch,21.9094
124015,hmd_pitch,4.835575
125014,hmd_pitch,11.47048
126013,hmd_pitch,12.91758
127016,hmd_pitch,14.81036
128014,hmd_pitch,15.70621
129015,hmd_pitch,16.04267
130014,hmd_pitch,15.9961
131011,hmd_pitch,16.56976
132012,hmd_pitch,16.63968
133012,hmd_pitch,18.95342
134011,hmd_pitch,21.38519
135011,hmd_pitch,20.79506
136008,hmd_pitch,20.71623
136053,starting_story,11;negative
137022,hmd_pitch,20.33794
138020,hmd_pitch,20.4082
139020,hmd_pitch,19.95312
140020,hmd_pitch,19.26012
140642,starting_story,2;neutral
141019,hmd_pitch,19.38082
142018,hmd_pitch,22.14315
143017,hmd_pitch,21.93793
144017,hmd_pitch,21.70526
145016,hmd_pitch,21.23442
146017,hmd_pitch,21.34076
147017,hmd_pitch,21.87407
148017,hmd_pitch,21.78198
149027,hmd_pitch,21.98529
150027,hmd_pitch,22.0265
151027,hmd_pitch,22.15173
152025,hmd_pitch,21.91217
153026,hmd_pitch,21.79681
154025,hmd_pitch,18.59216
155024,hmd_pitch,19.19798
156023,hmd_pitch,19.12746
157024,hmd_pitch,19.56208
158023,hmd_pitch,19.58072
159024,hmd_pitch,20.17316
160024,hmd_pitch,19.88601
161023,hmd_pitch,19.29267
162022,hmd_pitch,19.40363
163017,hmd_pitch,19.28843
164020,hmd_pitch,19.12033
165020,hmd_pitch,19.32184
166019,hmd_pitch,18.75077
167019,hmd_pitch,18.52298
168019,hmd_pitch,18.79714
169018,hmd_pitch,19.14139
170017,hmd_pitch,19.23567
171016,hmd_pitch,18.9307
172016,hmd_pitch,18.83294
173027,hmd_pitch,19.79788
174028,hmd_pitch,19.2711
175026,hmd_pitch,15.84646
176027,hmd_pitch,18.72918
177026,hmd_pitch,18.39697
178024,hmd_pitch,17.757
179024,hmd_pitch,17.39452
180024,hmd_pitch,17.14477
181024,hmd_pitch,17.37143
182034,hmd_pitch,17.73748
183033,hmd_pitch,16.87817
184045,hmd_pitch,17.52383
185044,hmd_pitch,16.71458
185722,starting_story,6;neutral
186042,hmd_pitch,15.90994
187044,hmd_pitch,23.98594
188043,hmd_pitch,25.24686
189042,hmd_pitch,25.60315
190042,hmd_pitch,26.10472
191041,hmd_pitch,26.56254
191086,button_pressed,left;repeat
192041,hmd_pitch,25.87887
193040,hmd_pitch,25.19821
194040,hmd_pitch,24.61218
195040,hmd_pitch,24.92329
196048,hmd_pitch,24.84758
196483,button_pressed,left;repeat
196484,repeat_lesson,True
196484,starting_story,8;negative
197050,hmd_pitch,24.30128
198049,hmd_pitch,24.69937
198736,button_pressed,left;repeat
199049,hmd_pitch,25.03549
200048,hmd_pitch,24.48225
201047,hmd_pitch,24.35168
202047,hmd_pitch,19.07266
203047,hmd_pitch,18.62964
204047,hmd_pitch,19.09144
205045,hmd_pitch,19.02728
206045,hmd_pitch,18.76293
207045,hmd_pitch,18.1671
208040,hmd_pitch,18.26262
209043,hmd_pitch,18.46976
210044,hmd_pitch,18.62629
211042,hmd_pitch,18.53907
212044,hmd_pitch,18.55083
213042,hmd_pitch,18.7941
214042,hmd_pitch,19.4567
215043,hmd_pitch,19.43706
216042,hmd_pitch,18.91545
217039,hmd_pitch,19.30103
218040,hmd_pitch,19.31015
218128,starting_story,2;negative
219042,hmd_pitch,18.95959
220045,hmd_pitch,19.07052
221050,hmd_pitch,19.03945
222048,hmd_pitch,19.10829
223048,hmd_pitch,19.17727
224049,hmd_pitch,18.40434
225047,hmd_pitch,17.07665
226048,hmd_pitch,17.48368
227047,hmd_pitch,16.95782
228047,hmd_pitch,17.20668
229044,hmd_pitch,17.19779
230046,hmd_pitch,17.97929
231045,hmd_pitch,18.13938
232057,hmd_pitch,18.29806
233056,hmd_pitch,18.52479
234054,hmd_pitch,18.10416
235056,hmd_pitch,18.11938
236055,hmd_pitch,18.23874
