time,event,value
-1,button_pressed,right;next
-1,button_pressed,right;next
-1,button_pressed,right;next
-1,button_pressed,left;repeat
-1,button_pressed,left;repeat
-1,button_pressed,left;repeat
0,participant_id,ec32ecea-c4fa-408a-a58f-7ae17851b5e1
0,condition,positive
2,lessons,1;3;2;5;4
676,starting_story,9;neutral
994,hmd_pitch,6.107059
1997,hmd_pitch,7.184621
2996,hmd_pitch,10.44575
4007,hmd_pitch,8.041327
5007,hmd_pitch,6.700557
6007,hmd_pitch,7.213949
7005,hmd_pitch,7.735561
8004,hmd_pitch,7.678758
9004,hmd_pitch,7.838325
10004,hmd_pitch,10.0669
11004,hmd_pitch,15.50572
12003,hmd_pitch,1.483642
13003,hmd_pitch,6.563341
14013,hmd_pitch,6.437143
15013,hmd_pitch,4.878374
16008,hmd_pitch,5.308483
17012,hmd_pitch,5.44093
18012,hmd_pitch,8.126166
19011,hmd_pitch,8.089688
20011,hmd_pitch,5.113375
21010,hmd_pitch,5.24523
22010,hmd_pitch,4.531778
23010,hmd_pitch,2.475819
24009,hmd_pitch,6.524636
25009,hmd_pitch,9.139196
26008,hmd_pitch,8.552284
27008,hmd_pitch,7.960246
28019,hmd_pitch,7.468511
29018,hmd_pitch,7.379352
30019,hmd_pitch,6.60348
31019,hmd_pitch,6.219077
32018,hmd_pitch,6.218024
33015,hmd_pitch,6.249802
34017,hmd_pitch,6.10037
35016,hmd_pitch,5.797199
36015,hmd_pitch,5.788558
37014,hmd_pitch,5.585238
38013,hmd_pitch,359.3686
38281,starting_story,1;neutral
39013,hmd_pitch,328.0539
40025,hmd_pitch,3.690885
41024,hmd_pitch,14.46466
42024,hmd_pitch,22.67114
43025,hmd_pitch,23.26881
44023,hmd_pitch,23.14745
45021,hmd_pitch,22.91355
46020,hmd_pitch,22.27873
47022,hmd_pitch,21.75276
48022,hmd_pitch,21.36836
49020,hmd_pitch,20.94506
50020,hmd_pitch,20.33703
51020,hmd_pitch,20.13978
52030,hmd_pitch,19.45247
53029,hmd_pitch,18.94768
54029,hmd_pitch,18.75727
55028,hmd_pitch,18.26578
56029,hmd_pitch,17.87986
57028,hmd_pitch,16.99751
58025,hmd_pitch,9.157396
59027,hmd_pitch,4.260265
60025,hmd_pitch,9.856398
61026,hmd_pitch,19.78003
62025,hmd_pitch,17.28372
63025,hmd_pitch,16.70411
64023,hmd_pitch,18.83968
65025,hmd_pitch,18.16635
66024,hmd_pitch,18.19915
67025,hmd_pitch,19.48232
68023,hmd_pitch,19.00404
69024,hmd_pitch,18.40066
70023,hmd_pitch,17.88572
71021,hmd_pitch,17.50297
72021,hmd_pitch,17.2144
73022,hmd_pitch,17.01641
73964,starting_story,6;neutral
74031,hmd_pitch,16.37823
75031,hmd_pitch,17.77353
76030,hmd_pitch,21.92091
77030,hmd_pitch,24.48492
78030,hmd_pitch,27.66256
79028,hmd_pitch,26.57609
80028,hmd_pitch,22.37114
81029,hmd_pitch,21.84058
82028,hmd_pitch,24.31948
83028,hmd_pitch,23.43364
83270,button_pressed,right;next
83271,repeat_lesson,False
83271,starting_story,7;positive
84026,hmd_pitch,22.52731
85026,hmd_pitch,22.15816
86026,hmd_pitch,15.72623
87026,hmd_pitch,12.41262
88025,hmd_pitch,19.93762
89025,hmd_pitch,15.33278
90024,hmd_pitch,13.9743
91024,hmd_pitch,9.813959
92024,hmd_pitch,7.846813
92434,starting_story,11;positive
93023,hmd_pitch,14.34112
94022,hmd_pitch,24.20662
