time,event,value
-1,button_pressed,left;repeat
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,f58735de-ae01-4293-a517-50ebe9d4aa59
0,condition,positive
0,lessons,2;4;5;3;1
666,starting_story,9;neutral
986,hmd_pitch,359.5229
1987,hmd_pitch,359.7857
2997,hmd_pitch,0.2673052
3996,hmd_pitch,0.4954268
4998,hmd_pitch,0.3683667
5993,hmd_pitch,0.6424279
6993,hmd_pitch,0.6436915
7992,hmd_pitch,0.4864777
8992,hmd_pitch,0.6903927
9994,hmd_pitch,0.8464794
10990,hmd_pitch,0.6005618
11990,hmd_pitch,0.8591185
12991,hmd_pitch,0.8781793
13986,hmd_pitch,1.25295
14990,hmd_pitch,1.320149
15989,hmd_pitch,1.481335
16989,hmd_pitch,1.32436
17989,hmd_pitch,1.262129
18989,hmd_pitch,1.187478
19987,hmd_pitch,1.279351
20987,hmd_pitch,1.223703
21988,hmd_pitch,1.348443
23020,hmd_pitch,1.456128
24020,hmd_pitch,1.216586
25019,hmd_pitch,1.344838
26030,hmd_pitch,1.16984
27031,hmd_pitch,0.6084876
28030,hmd_pitch,0.4140142
29027,hmd_pitch,0.6368725
30039,hmd_pitch,0.5832447
31038,hmd_pitch,0.2009503
32037,hmd_pitch,3.394704
33037,hmd_pitch,3.523561
34037,hmd_pitch,1.912287
35037,hmd_pitch,0.7034137
36036,hmd_pitch,0.9901363
37035,hmd_pitch,0.6059661
38032,hmd_pitch,0.2312697
38287,starting_story,2;neutral
39035,hmd_pitch,0.6424458
40035,hmd_pitch,8.751148
41035,hmd_pitch,8.306334
42034,hmd_pitch,7.939806
43032,hmd_pitch,7.773315
44032,hmd_pitch,8.169556
45033,hmd_pitch,7.99695
46032,hmd_pitch,7.959133
47033,hmd_pitch,8.071179
48032,hmd_pitch,7.973902
49030,hmd_pitch,8.202149
50037,hmd_pitch,16.67854
51040,hmd_pitch,16.22285
52039,hmd_pitch,15.64712
53052,hmd_pitch,14.14486
54050,hmd_pitch,14.17255
55051,hmd_pitch,14.00562
56050,hmd_pitch,13.88743
57050,hmd_pitch,13.53195
58050,hmd_pitch,13.54174
59048,hmd_pitch,13.32641
60049,hmd_pitch,12.83379
61048,hmd_pitch,12.68011
62047,hmd_pitch,12.3127
63058,hmd_pitch,13.30048
64057,hmd_pitch,13.43656
65056,hmd_pitch,13.50443
66056,hmd_pitch,13.51584
67056,hmd_pitch,13.36812
68056,hmd_pitch,13.45576
69056,hmd_pitch,13.13394
70054,hmd_pitch,13.01305
71055,hmd_pitch,13.36064
72054,hmd_pitch,13.32224
73054,hmd_pitch,13.52998
74054,hmd_pitch,13.81003
75052,hmd_pitch,13.39851
76052,hmd_pitch,12.44613
77050,hmd_pitch,13.46531
78051,hmd_pitch,17.11873
79050,hmd_pitch,22.00816
80050,hmd_pitch,20.55052
81047,hmd_pitch,20.83286
82049,hmd_pitch,20.72331
83055,hmd_pitch,20.42261
83360,starting_story,6;neutral
84105,hmd_pitch,20.73996
85103,hmd_pitch,21.55848
86101,hmd_pitch,22.14471
87102,hmd_pitch,23.1547
88102,hmd_pitch,23.09084
89100,hmd_pitch,21.24181
89519,repeat_lesson,True
