time,event,value
-1,button_pressed,left;repeat
-1,button_pressed,right;next
0,participant_id,f7c70bce-73c7-4675-afc0-4c085a9f7d00
0,condition,positive
0,lessons,1;2;4;5;3
668,starting_story,9;neutral
990,hmd_pitch,359.9899
1987,hmd_pitch,0.5059552
2987,hmd_pitch,0.7301863
3988,hmd_pitch,0.3066183
5011,hmd_pitch,0.2064303
6010,hmd_pitch,359.8856
7003,hmd_pitch,359.7043
8009,hmd_pitch,359.5421
9006,hmd_pitch,359.133
10008,hmd_pitch,359.0585
11007,hmd_pitch,359.3485
12007,hmd_pitch,359.0703
13006,hmd_pitch,0.4300795
14006,hmd_pitch,359.2126
15004,hmd_pitch,358.5452
16006,hmd_pitch,357.4861
17004,hmd_pitch,357.7068
18005,hmd_pitch,357.6291
18999,hmd_pitch,357.8087
20003,hmd_pitch,357.9179
21002,hmd_pitch,357.9365
22001,hmd_pitch,358.5433
23001,hmd_pitch,352.6491
24000,hmd_pitch,356.5988
25000,hmd_pitch,356.6327
26000,hmd_pitch,356.9529
27000,hmd_pitch,356.6937
27999,hmd_pitch,356.8433
28998,hmd_pitch,357.1225
29998,hmd_pitch,357.3654
30999,hmd_pitch,357.0082
31997,hmd_pitch,357.0833
32996,hmd_pitch,357.739
33997,hmd_pitch,358.8435
34994,hmd_pitch,354.6377
35996,hmd_pitch,358.6612
36995,hmd_pitch,358.3584
37994,hmd_pitch,357.6243
38284,starting_story,1;neutral
38994,hmd_pitch,357.2995
39995,hmd_pitch,0.369676
40993,hmd_pitch,0.148933
41993,hmd_pitch,359.6105
42993,hmd_pitch,359.4707
43989,hmd_pitch,359.0114
44993,hmd_pitch,358.7208
45993,hmd_pitch,358.3769
46992,hmd_pitch,358.4803
47991,hmd_pitch,358.6901
48991,hmd_pitch,358.9239
49991,hmd_pitch,358.6434
50989,hmd_pitch,358.3098
51989,hmd_pitch,358.4506
52986,hmd_pitch,358.3563
53989,hmd_pitch,359.597
54987,hmd_pitch,359.5261
55986,hmd_pitch,358.7978
56985,hmd_pitch,358.5742
57986,hmd_pitch,358.4572
58986,hmd_pitch,358.6465
59984,hmd_pitch,358.4236
60984,hmd_pitch,358.8105
61984,hmd_pitch,359.1763
62984,hmd_pitch,359.1096
63983,hmd_pitch,359.3055
65011,hmd_pitch,359.0857
66015,hmd_pitch,359.1416
67014,hmd_pitch,359.2058
68013,hmd_pitch,359.0522
69013,hmd_pitch,359.0054
70013,hmd_pitch,358.6277
71012,hmd_pitch,358.7156
72013,hmd_pitch,358.9663
73013,hmd_pitch,359.0362
73956,starting_story,6;neutral
74012,hmd_pitch,358.8183
75012,hmd_pitch,358.9733
76011,hmd_pitch,0.2956368
77011,hmd_pitch,0.5156646
78009,hmd_pitch,0.3323308
79010,hmd_pitch,0.413592
80011,hmd_pitch,0.2360251
81009,hmd_pitch,0.09626495
81819,button_pressed,right;next
81820,repeat_lesson,False
81821,starting_story,7;positive
82005,hmd_pitch,359.8577
83009,hmd_pitch,2.728685
84008,hmd_pitch,3.965181
85008,hmd_pitch,6.299657
86006,hmd_pitch,2.071731
87006,hmd_pitch,1.922637
88006,hmd_pitch,1.97401
89004,hmd_pitch,2.216656
