time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,f9759a34-8af9-4318-9bfd-c30cf1f66b58
0,condition,negative
2,lessons,5;4;2;1;3
669,starting_story,9;neutral
988,hmd_pitch,2.469072
1992,hmd_pitch,4.470512
2991,hmd_pitch,3.660302
3991,hmd_pitch,2.962982
4991,hmd_pitch,5.273428
5987,hmd_pitch,4.821818
6989,hmd_pitch,3.478115
7983,hmd_pitch,4.1886
8988,hmd_pitch,3.702096
9988,hmd_pitch,4.545477
10986,hmd_pitch,6.074698
11986,hmd_pitch,14.13154
12986,hmd_pitch,16.75245
13986,hmd_pitch,2.061798
14985,hmd_pitch,4.007256
15985,hmd_pitch,5.371431
16985,hmd_pitch,6.759371
17983,hmd_pitch,2.701094
18983,hmd_pitch,8.271493
19977,hmd_pitch,5.598516
20981,hmd_pitch,5.340086
21981,hmd_pitch,5.495589
22980,hmd_pitch,4.830149
23982,hmd_pitch,3.110687
24980,hmd_pitch,3.658791
25980,hmd_pitch,3.350158
26980,hmd_pitch,4.127991
27978,hmd_pitch,3.877146
28978,hmd_pitch,4.808022
29979,hmd_pitch,4.254846
30978,hmd_pitch,3.756855
31973,hmd_pitch,4.079602
32976,hmd_pitch,3.810364
33976,hmd_pitch,3.924764
34975,hmd_pitch,4.097912
35975,hmd_pitch,3.945592
36976,hmd_pitch,5.203891
37974,hmd_pitch,12.67926
38286,starting_story,5;neutral
38975,hmd_pitch,6.815711
39975,hmd_pitch,8.761984
40974,hmd_pitch,9.537569
41973,hmd_pitch,19.45429
42972,hmd_pitch,15.89281
43978,hmd_pitch,15.50735
44983,hmd_pitch,14.68346
45981,hmd_pitch,14.75945
46982,hmd_pitch,14.10004
47980,hmd_pitch,14.44215
48981,hmd_pitch,15.11839
49981,hmd_pitch,15.72123
50979,hmd_pitch,10.7924
51980,hmd_pitch,12.44938
53002,hmd_pitch,11.17432
53999,hmd_pitch,11.33243
55000,hmd_pitch,12.30365
55995,hmd_pitch,10.32522
57000,hmd_pitch,9.492039
58000,hmd_pitch,6.400779
58998,hmd_pitch,6.844092
59999,hmd_pitch,8.533288
60997,hmd_pitch,10.06506
61997,hmd_pitch,14.08169
62996,hmd_pitch,13.4107
63997,hmd_pitch,12.64065
64996,hmd_pitch,12.24388
65995,hmd_pitch,12.81572
66996,hmd_pitch,12.71932
68006,hmd_pitch,12.50258
69006,hmd_pitch,12.39262
70006,hmd_pitch,12.54278
71007,hmd_pitch,14.09697
72005,hmd_pitch,6.483285
73004,hmd_pitch,9.791489
74003,hmd_pitch,8.534763
75003,hmd_pitch,8.13552
76002,hmd_pitch,10.0007
77001,hmd_pitch,11.01752
78000,hmd_pitch,11.32426
79000,hmd_pitch,11.51202
80012,hmd_pitch,11.47141
81011,hmd_pitch,10.70621
82010,hmd_pitch,10.17636
83011,hmd_pitch,10.29157
83421,starting_story,6;neutral
84009,hmd_pitch,10.62377
85010,hmd_pitch,14.82094
86010,hmd_pitch,17.57868
87008,hmd_pitch,18.37484
88007,hmd_pitch,17.95211
89008,hmd_pitch,15.02804
89085,button_pressed,left;repeat
90006,hmd_pitch,14.56168
91007,hmd_pitch,14.49547
92001,hmd_pitch,14.54479
93006,hmd_pitch,14.27971
93216,button_pressed,right;next
93217,repeat_lesson,False
93217,starting_story,7;negative
94004,hmd_pitch,14.44372
95004,hmd_pitch,14.04983
96004,hmd_pitch,13.71312
97002,hmd_pitch,2.583621
98003,hmd_pitch,359.7132
99003,hmd_pitch,353.0893
100003,hmd_pitch,0.3860491
101002,hmd_pitch,1.48494
102002,hmd_pitch,1.579369
103000,hmd_pitch,3.744829
103999,hmd_pitch,4.045943
104998,hmd_pitch,6.051836
105998,hmd_pitch,5.708548
107000,hmd_pitch,4.700296
108000,hmd_pitch,6.140398
108997,hmd_pitch,8.196599
109998,hmd_pitch,8.294525
110996,hmd_pitch,7.961442
111997,hmd_pitch,8.494143
113003,hmd_pitch,8.432999
114008,hmd_pitch,8.543993
115008,hmd_pitch,8.573672
115724,starting_story,11;negative
116007,hmd_pitch,9.05362
117007,hmd_pitch,9.810712
118007,hmd_pitch,9.872224
119005,hmd_pitch,9.167665
120006,hmd_pitch,7.289076
120327,starting_story,4;neutral
121005,hmd_pitch,7.949896
122006,hmd_pitch,12.43146
123003,hmd_pitch,9.677393
124002,hmd_pitch,10.14771
125003,hmd_pitch,9.885465
126002,hmd_pitch,10.18147
127000,hmd_pitch,13.94483
128012,hmd_pitch,13.51275
129010,hmd_pitch,13.74565
130012,hmd_pitch,13.70599
131011,hmd_pitch,13.78339
132010,hmd_pitch,13.33524
133010,hmd_pitch,13.36386
134010,hmd_pitch,13.53136
135010,hmd_pitch,13.77034
136010,hmd_pitch,13.33446
137010,hmd_pitch,13.44546
138008,hmd_pitch,14.33419
139009,hmd_pitch,13.3639
140017,hmd_pitch,13.56931
141017,hmd_pitch,13.84125
142016,hmd_pitch,13.96404
143017,hmd_pitch,13.61722
144016,hmd_pitch,13.11607
145016,hmd_pitch,13.57198
146014,hmd_pitch,13.6529
147015,hmd_pitch,2.487188
148014,hmd_pitch,3.186464
149014,hmd_pitch,5.789909
150014,hmd_pitch,7.013192
150424,starting_story,6;neutral
151013,hmd_pitch,8.757806
152014,hmd_pitch,12.66181
153013,hmd_pitch,13.75349
154011,hmd_pitch,14.12447
155011,hmd_pitch,14.27405
155665,button_pressed,left;repeat
156008,hmd_pitch,13.99851
156790,button_pressed,left;repeat
156791,repeat_lesson,True
156791,starting_story,8;negative
157010,hmd_pitch,14.26246
158010,hmd_pitch,13.37811
159009,hmd_pitch,2.391518
160009,hmd_pitch,5.298965
161009,hmd_pitch,6.413217
162008,hmd_pitch,7.435304
163008,hmd_pitch,7.732289
164008,hmd_pitch,5.659212
165007,hmd_pitch,6.490552
166007,hmd_pitch,8.709257
167007,hmd_pitch,10.10922
168004,hmd_pitch,8.800877
169004,hmd_pitch,1.775861
170003,hmd_pitch,4.203458
171004,hmd_pitch,5.124888
172003,hmd_pitch,5.729843
173004,hmd_pitch,6.925237
174002,hmd_pitch,9.040482
174996,hmd_pitch,9.487066
176001,hmd_pitch,6.895789
177001,hmd_pitch,6.793405
178002,hmd_pitch,7.221268
178434,starting_story,4;negative
179000,hmd_pitch,8.364812
179999,hmd_pitch,8.576382
180998,hmd_pitch,8.10603
181999,hmd_pitch,8.409259
182998,hmd_pitch,10.29465
183998,hmd_pitch,10.33409
184999,hmd_pitch,9.720389
185995,hmd_pitch,9.995802
187008,hmd_pitch,10.60085
188007,hmd_pitch,10.18865
189008,hmd_pitch,9.971113
190008,hmd_pitch,10.14672
191006,hmd_pitch,11.61775
192004,hmd_pitch,8.525895
193004,hmd_pitch,14.40309
194003,hmd_pitch,12.99746
195004,hmd_pitch,12.88841
196004,hmd_pitch,12.79345
197002,hmd_pitch,8.748807
198001,hmd_pitch,8.593637
198997,hmd_pitch,9.317192
200003,hmd_pitch,10.02305
201000,hmd_pitch,10.39653
202001,hmd_pitch,10.69649
202999,hmd_pitch,10.98575
204001,hmd_pitch,11.03484
204999,hmd_pitch,11.21376
206000,hmd_pitch,9.793797
206999,hmd_pitch,6.221087
207998,hmd_pitch,4.594177
208998,hmd_pitch,4.034929
209998,hmd_pitch,4.581923
210991,hmd_pitch,5.446564
211996,hmd_pitch,6.218571
212995,hmd_pitch,6.438836
213783,starting_story,11;negative
213994,hmd_pitch,6.577259
214995,hmd_pitch,7.468235
215995,hmd_pitch,8.37178
216993,hmd_pitch,8.957894
217994,hmd_pitch,8.647471
218369,starting_story,2;neutral
218994,hmd_pitch,8.721162
219993,hmd_pitch,11.74351
220993,hmd_pitch,13.49618
221992,hmd_pitch,13.03031
223003,hmd_pitch,12.56618
224001,hmd_pitch,357.5705
225002,hmd_pitch,358.833
226000,hmd_pitch,0.1734699
227001,hmd_pitch,1.042503
228000,hmd_pitch,0.8970106
228999,hmd_pitch,6.581984
229998,hmd_pitch,9.482798
230999,hmd_pitch,9.698256
231998,hmd_pitch,9.922787
233020,hmd_pitch,9.016564
234020,hmd_pitch,8.786778
235016,hmd_pitch,9.088619
236019,hmd_pitch,9.314879
237017,hmd_pitch,9.991687
