time,event,value
-1,button_pressed,left;repeat
-1,button_pressed,right;next
0,participant_id,ff4dcbf7-8be5-4063-baa4-8f08479f1cc4
0,condition,positive
0,lessons,3;2;5;4;1
678,starting_story,9;neutral
994,hmd_pitch,4.018751
1998,hmd_pitch,3.563257
2998,hmd_pitch,3.133076
3993,hmd_pitch,2.194944
4995,hmd_pitch,4.127681
5997,hmd_pitch,3.682925
7002,hmd_pitch,3.96804
8012,hmd_pitch,4.032274
9014,hmd_pitch,4.149573
10015,hmd_pitch,6.544521
11014,hmd_pitch,6.388573
12017,hmd_pitch,5.518045
13013,hmd_pitch,4.828377
14016,hmd_pitch,6.388249
15012,hmd_pitch,5.981371
16013,hmd_pitch,5.692892
17013,hmd_pitch,5.139577
18011,hmd_pitch,5.333125
19010,hmd_pitch,5.501737
20010,hmd_pitch,4.951091
21008,hmd_pitch,4.368519
22009,hmd_pitch,4.95666
23010,hmd_pitch,5.710735
24008,hmd_pitch,5.637683
25008,hmd_pitch,4.918999
26009,hmd_pitch,5.071753
27007,hmd_pitch,5.457561
28005,hmd_pitch,5.379515
29007,hmd_pitch,5.229599
30006,hmd_pitch,5.595163
31007,hmd_pitch,5.243518
32005,hmd_pitch,4.550683
33004,hmd_pitch,4.073361
34005,hmd_pitch,4.008691
35004,hmd_pitch,2.638679
36005,hmd_pitch,2.293874
37016,hmd_pitch,3.166946
38012,hmd_pitch,4.124621
38305,starting_story,3;neutral
39013,hmd_pitch,9.236078
40015,hmd_pitch,20.79627
41011,hmd_pitch,20.25529
42012,hmd_pitch,19.42064
43011,hmd_pitch,19.34163
44009,hmd_pitch,19.1601
45009,hmd_pitch,19.12319
46009,hmd_pitch,19.00296
47010,hmd_pitch,19.09886
48009,hmd_pitch,19.22646
49010,hmd_pitch,19.15148
50011,hmd_pitch,18.43851
51009,hmd_pitch,18.42616
52018,hmd_pitch,18.41194
53019,hmd_pitch,18.68336
54018,hmd_pitch,18.92069
55019,hmd_pitch,18.70925
56019,hmd_pitch,18.93014
57017,hmd_pitch,18.85123
58018,hmd_pitch,19.42517
59017,hmd_pitch,19.24837
60015,hmd_pitch,18.43968
61016,hmd_pitch,18.26559
62016,hmd_pitch,18.30958
63014,hmd_pitch,18.06037
64016,hmd_pitch,17.50554
65017,hmd_pitch,17.42873
66022,hmd_pitch,17.23165
67022,hmd_pitch,17.40343
68022,hmd_pitch,17.35722
69022,hmd_pitch,15.32328
70021,hmd_pitch,14.63601
71019,hmd_pitch,14.73582
71521,starting_story,6;neutral
72019,hmd_pitch,14.72652
73019,hmd_pitch,16.83554
74019,hmd_pitch,16.93644
75019,hmd_pitch,16.7222
76017,hmd_pitch,15.6721
77019,hmd_pitch,15.00931
78020,hmd_pitch,14.16949
79016,hmd_pitch,4.971039
80017,hmd_pitch,0.2162328
81027,hmd_pitch,359.8388
82028,hmd_pitch,359.2221
83026,hmd_pitch,4.401488
84027,hmd_pitch,7.470049
85026,hmd_pitch,7.557546
86027,hmd_pitch,5.032852
86480,button_pressed,right;next
86482,repeat_lesson,False
86483,starting_story,7;positive
87025,hmd_pitch,10.92726
88025,hmd_pitch,14.34914
89024,hmd_pitch,14.99766
