time,event,value
-1,button_pressed,right;next
-1,button_pressed,left;repeat
0,participant_id,ffa00716-15b7-4e75-b748-dcbb808a855c
0,condition,negative
1,lessons,2;4;5;1;3
666,starting_story,9;neutral
993,hmd_pitch,7.979753
1991,hmd_pitch,8.003577
2993,hmd_pitch,8.21885
3991,hmd_pitch,8.345636
4990,hmd_pitch,8.157866
5991,hmd_pitch,7.796238
6989,hmd_pitch,8.147346
7989,hmd_pitch,7.984677
8989,hmd_pitch,7.823175
9989,hmd_pitch,8.125169
10989,hmd_pitch,7.682617
11987,hmd_pitch,7.988942
12988,hmd_pitch,7.790756
13986,hmd_pitch,7.459902
14985,hmd_pitch,7.484534
15987,hmd_pitch,7.218888
16986,hmd_pitch,7.436565
17986,hmd_pitch,7.641009
18985,hmd_pitch,7.711721
19985,hmd_pitch,7.612232
20985,hmd_pitch,7.370947
21982,hmd_pitch,7.716941
22983,hmd_pitch,7.549552
23982,hmd_pitch,7.61733
24980,hmd_pitch,7.64971
25981,hmd_pitch,7.454385
26980,hmd_pitch,7.805786
27979,hmd_pitch,7.155464
28980,hmd_pitch,7.410106
29980,hmd_pitch,7.505062
30977,hmd_pitch,7.492695
31978,hmd_pitch,7.224341
32978,hmd_pitch,7.204717
33977,hmd_pitch,6.780815
34977,hmd_pitch,6.863939
35977,hmd_pitch,6.530122
36976,hmd_pitch,6.290204
37975,hmd_pitch,6.346005
38297,starting_story,2;neutral
38976,hmd_pitch,6.25406
39974,hmd_pitch,6.338778
40974,hmd_pitch,6.370893
41974,hmd_pitch,6.397691
42975,hmd_pitch,6.419089
43974,hmd_pitch,6.395136
44974,hmd_pitch,6.401001
45971,hmd_pitch,6.384316
46972,hmd_pitch,6.178314
47973,hmd_pitch,6.109225
48972,hmd_pitch,6.001575
49972,hmd_pitch,5.91028
50972,hmd_pitch,5.915612
51970,hmd_pitch,5.877822
52969,hmd_pitch,5.753378
53968,hmd_pitch,5.889736
54969,hmd_pitch,6.001961
55967,hmd_pitch,5.931427
56968,hmd_pitch,5.906238
57967,hmd_pitch,5.583657
58966,hmd_pitch,5.853013
59966,hmd_pitch,5.845224
60977,hmd_pitch,5.730571
61976,hmd_pitch,6.139362
62976,hmd_pitch,5.870281
63976,hmd_pitch,5.918232
64976,hmd_pitch,6.198962
65984,hmd_pitch,5.894616
66985,hmd_pitch,5.906424
67985,hmd_pitch,6.106232
68983,hmd_pitch,6.183872
69982,hmd_pitch,6.175397
70984,hmd_pitch,5.949854
71982,hmd_pitch,6.133923
72983,hmd_pitch,6.101685
73983,hmd_pitch,5.869784
74982,hmd_pitch,6.127813
75981,hmd_pitch,6.043365
76980,hmd_pitch,5.963515
77980,hmd_pitch,5.982981
78979,hmd_pitch,5.784965
79980,hmd_pitch,5.782166
80978,hmd_pitch,6.030012
81979,hmd_pitch,5.990987
82978,hmd_pitch,6.208806
83368,starting_story,6;neutral
83978,hmd_pitch,5.960066
84978,hmd_pitch,6.26198
85977,hmd_pitch,6.493213
86974,hmd_pitch,6.542284
87975,hmd_pitch,6.669419
88975,hmd_pitch,6.530657
89510,repeat_lesson,True
89510,starting_story,8;negative
89975,hmd_pitch,6.616494
90974,hmd_pitch,6.903996
91974,hmd_pitch,7.005153
92974,hmd_pitch,6.744227
93973,hmd_pitch,7.16193
94971,hmd_pitch,7.995047
95972,hmd_pitch,8.188419
96883,button_pressed,right;next
96973,hmd_pitch,8.666774
97971,hmd_pitch,8.672583
98971,hmd_pitch,8.877473
99970,hmd_pitch,8.439388
100971,hmd_pitch,8.646517
101970,hmd_pitch,8.867481
102970,hmd_pitch,8.433031
103969,hmd_pitch,8.223653
104967,hmd_pitch,8.093212
105969,hmd_pitch,7.935895
106966,hmd_pitch,7.889091
107967,hmd_pitch,7.771273
108965,hmd_pitch,7.915068
109522,button_pressed,right;next
109966,hmd_pitch,7.974434
110966,hmd_pitch,7.88702
111144,starting_story,2;negative
111964,hmd_pitch,8.064289
112964,hmd_pitch,8.056796
113965,hmd_pitch,7.793573
114964,hmd_pitch,7.425476
115964,hmd_pitch,7.249053
116964,hmd_pitch,7.262735
117962,hmd_pitch,7.350096
118963,hmd_pitch,7.311644
119960,hmd_pitch,7.181529
120962,hmd_pitch,7.520156
121962,hmd_pitch,7.380365
122961,hmd_pitch,7.22989
123958,hmd_pitch,7.300505
124960,hmd_pitch,6.999322
125980,hmd_pitch,6.905481
126980,hmd_pitch,6.970284
127981,hmd_pitch,6.865205
128981,hmd_pitch,7.003495
129980,hmd_pitch,6.72269
130978,hmd_pitch,6.930799
131990,hmd_pitch,6.890233
132990,hmd_pitch,6.84612
133989,hmd_pitch,6.911316
134988,hmd_pitch,6.631381
135989,hmd_pitch,6.818082
136988,hmd_pitch,6.997309
137988,hmd_pitch,6.725844
138986,hmd_pitch,6.965117
139985,hmd_pitch,7.04295
140986,hmd_pitch,7.099807
141987,hmd_pitch,7.322397
142984,hmd_pitch,7.26581
143978,hmd_pitch,7.392092
144984,hmd_pitch,7.225002
145983,hmd_pitch,7.255912
146984,hmd_pitch,7.227849
147982,hmd_pitch,7.09712
148981,hmd_pitch,7.039362
149981,hmd_pitch,7.279648
150981,hmd_pitch,7.036173
151979,hmd_pitch,7.197956
152980,hmd_pitch,7.293272
153979,hmd_pitch,6.977405
154979,hmd_pitch,7.034096
155992,hmd_pitch,7.043934
156985,hmd_pitch,7.221887
157987,hmd_pitch,7.312774
158988,hmd_pitch,7.059958
159989,hmd_pitch,7.158459
160986,hmd_pitch,7.119693
161984,hmd_pitch,6.978015
162986,hmd_pitch,7.245123
163530,starting_story,11;negative
163988,hmd_pitch,7.126981
164981,hmd_pitch,7.420548
165986,hmd_pitch,7.405765
166981,hmd_pitch,7.337369
167991,hmd_pitch,7.526573
168145,starting_story,4;neutral
168995,hmd_pitch,7.563718
169994,hmd_pitch,7.736695
170995,hmd_pitch,7.729896
171993,hmd_pitch,7.507459
172992,hmd_pitch,7.696486
173993,hmd_pitch,7.58372
174992,hmd_pitch,8.006376
175991,hmd_pitch,7.613679
176990,hmd_pitch,7.427149
177989,hmd_pitch,7.495909
178988,hmd_pitch,7.336444
179998,hmd_pitch,7.328714
181000,hmd_pitch,7.309344
182000,hmd_pitch,7.022933
183001,hmd_pitch,7.19177
183999,hmd_pitch,7.088211
184997,hmd_pitch,6.789562
186020,hmd_pitch,6.94623
187020,hmd_pitch,6.826531
188019,hmd_pitch,6.671248
189020,hmd_pitch,6.761924
190018,hmd_pitch,6.567697
191020,hmd_pitch,6.681659
192025,hmd_pitch,6.79223
193027,hmd_pitch,6.667677
194027,hmd_pitch,6.715765
195028,hmd_pitch,6.548427
196027,hmd_pitch,6.497853
197025,hmd_pitch,6.587002
198025,hmd_pitch,6.132508
198245,starting_story,6;neutral
199025,hmd_pitch,6.34096
200021,hmd_pitch,6.195294
201024,hmd_pitch,6.426325
202023,hmd_pitch,6.463056
202045,button_pressed,left;repeat
203025,hmd_pitch,6.035196
204034,hmd_pitch,6.249873
205033,hmd_pitch,6.083982
206036,hmd_pitch,6.165111
207033,hmd_pitch,6.415291
208032,hmd_pitch,6.160426
209030,hmd_pitch,6.378036
210033,hmd_pitch,6.430803
211027,hmd_pitch,6.308044
211163,button_pressed,right;next
211163,repeat_lesson,False
211164,starting_story,7;negative
212028,hmd_pitch,6.441433
213029,hmd_pitch,6.272436
214029,hmd_pitch,6.510209
215030,hmd_pitch,6.500038
216039,hmd_pitch,6.044262
217039,hmd_pitch,6.320126
218038,hmd_pitch,6.09203
219039,hmd_pitch,5.865123
220035,hmd_pitch,5.649845
221037,hmd_pitch,5.744313
222038,hmd_pitch,5.729243
223038,hmd_pitch,5.424161
224035,hmd_pitch,5.340083
225036,hmd_pitch,5.404741
226035,hmd_pitch,5.240143
227036,hmd_pitch,5.161494
228046,hmd_pitch,5.395399
229044,hmd_pitch,5.355394
230045,hmd_pitch,5.299422
231045,hmd_pitch,5.034348
232045,hmd_pitch,5.130009
233043,hmd_pitch,5.174565
233689,starting_story,11;negative
234041,hmd_pitch,5.194097
235043,hmd_pitch,5.542747
236040,hmd_pitch,5.489682
237041,hmd_pitch,5.407928
238041,hmd_pitch,5.603194
