"ID","How many teeth  does a human usually have? (Note this question is a mock question and does not influence your result)","1/15 What is the name of the species of Noxrama, Klarnu and gluber?","2/15 On which planet do they live?","3/15 What superpower has Klarnu?","4/15 What are the neighbors of Hakol?","5/15 Which of the planets has high mountains?","6/15 Which planet is the smallest? (Hint: The one with the ring in its atmosphere.)","7/15 Which species are Flox and Nol?","8/15 On which planet does Nol live?","9/15 What is the name of the city on the mountain?","10/15 How many planets are in that universe?","11/15 How many species does this parallel universe entail?","12/15 Which humanoid species live peacefully together.","13/15 How old is Hakol?","14/15 What is the name of the fluid substance that occurred 10 million years ago on Hakol?","15/15 How many legs has a Gloka?","Example: Do you like pizza? (Note that this question is a mock question and does not influence our results)","1/10 Did you understand the content of the lectures? ","2/10 Did you find the lectures to be too difficult?","3/10 Did you try your best at understanding the lectures and answering the questions?","4/10 Did the robotic reaction in between the sessions affect you emotionally?","4.5/10 If yes in what way? ","5/10 Did the reactions of the robot influence your decision to request a repetition of a lecture?","6/10 Were the reactions of the robot helpful and or beneficial for your learning experience?","7/10 Overall, did you find the robot to be a good teacher?","8/10 Did you find the robot to be sympathetic?","9/10 Do you feel like the robot cared about your success?","10/10 Do you feel like the robot is sentient?","How old are you?","Which gender do you identify with?","Which academic degree do you have?","Do you have feedback?"
"richtige Antworten",32,Prozu Falares,Globlug,high jumps,Graz and Flasso,Flasso,Klux,Klono Pales,Flasso,Palasa,"2.000","290.000",Jate Rales and Zufa Rufu,17 Million years,Topus,6,,,,,,,,,,,,,,,,
"012294c9","36","Noxramas","Prozus","high jumps","Graz and  Klux","Flasso","Graz","Klono Pales","Globlug","Palos","20.000","290.000","Zufa Rufu Moka Nules","19 Million years","Tapas","6","4","2","4","5","2","answers were to long","5","2","2","1","2","2","24","m","currently working on my bachelors degree",""
"0b04dc2a","32","Noxramas","Hakol","high jumps","Globlug and Flasso","Flasso","Ulas","Prozu Falares","Ulas","Palaso","2.000","290.000","Klono Pales and Prozu Falares","19 Million years","Topus","6","5","4","4","5","4","","2","2","1","2","3","3","21","Female","A-levels",""
"1d9c332c","36","Prozu Falares","Globlug","high jumps","Globlug and Flasso","Flasso","Klux","Klono Pales","Flasso","Palasa","2.000","290.000","Klono Pales and Prozu Falares","17 Million years","Topas","6","4","4","4","5","3","","3","2","2","2","4","3","20","Male","Abitur",""
"2b2ab812","32","Prozu Falares","Hakol","high jumps","Flasso and Klux","Globlug","Klux","Prozu Falares","Globlug","Palasa","2.000","290.000","Moka Nules and Jata Rales","17 Million years","Topas","6","5","5","4","5","4","","4","3","4","2","3","3","22","Female","Higher secondary school",""
"4ae8a006","36","Prozu Falares","Globlug","high jumps","Flasso and Klux","Krux","Klux","Globlugs","Globlug","Palaso","2.000","290.000","Jate Rales and Zufa Rufu","17 Million years","Topas","6","5","4","3","5","2","The roboter was a little bit anoying because it repeated its answers.","1","1","3","3","4","3","21","female","","No"
"4ef9f865","32","Klono Pales","Globlug","high jumps","Graz and Flasso","Flasso","Ulas","Moka Nules","Globlug","Palaso","2.000","290.000","Zufa Rufu Moka Nules","19 Million years","Topas","6","4","5","4","2","5","It was very clear the robot did not want me to repeat anything. The non-human and non-emotional way the robot behaved made me really uncomfortable, so I did not want to repeat.","5","1","2","2","4","2","23","Male","Abitur","Thanks for having me :)"
"6799125c","36","Prozu Falares","Hakol","good smelling","Flasso and Klux","Flasso","Klux","Klono Pales","Flasso","Palaso","20.000","290.000","Klono Pales and Prozu Falares","19 Million years","Topus","8","5","4","2","4","4","I was confused at first","2","1","1","1","1","2","27","Male","A-Level",""
"80099f60","36","Prozu Glub","Globlug","strength","Graz and  Klux","Krux","Ulas","Klono Pales","Flasso","Palasi","2.000","290.000","Zufa Rufu Moka Nules","19 Million years","Topas","6","5","4","3","4","4","I felt attacked and not encouraged to learn more.","4","1","3","3","2","3","22","Female","A level",""
"945bb100","32","Prozu Glub","Globlug","high jumps","Flasso and Klux","Krux","Ulas","Globlugs","Ulas","Palos","20.000","290.000","Zufa Rufu Moka Nules","17 Million years","Topus","6","5","4","3","2","4","","2","3","4","3","3","3","27","male","",""
