audio offset,blinking state,eye state
5499,open,angry
5613,half_closed,angry
5633,closed,angry
5913,half_closed,angry
11203,open,angry
11316,half_closed,angry
11336,closed,angry
11627,half_closed,angry
16676,open,angry
16796,half_closed,angry
16816,closed,angry
17122,half_closed,angry
17222,open,angry
17337,half_closed,angry
17357,closed,angry
17657,half_closed,angry
23597,open,angry
23710,half_closed,angry
23729,closed,angry
24033,half_closed,angry
28580,open,angry
28690,half_closed,angry
28710,closed,angry
29005,half_closed,angry
33693,open,angry
33803,half_closed,angry
33822,closed,angry
34120,half_closed,angry
39739,open,angry
39850,half_closed,angry
39870,closed,angry
40185,half_closed,angry
45743,open,angry
45856,half_closed,angry
45875,closed,angry
46198,half_closed,angry
50870,open,angry
50985,half_closed,angry
51004,open,angry
