audio offset,blinking state,eye state
5911,open,happy
6015,half_closed,happy
6034,closed,happy
6330,half_closed,happy
10930,open,happy
11037,half_closed,happy
11057,closed,happy
11366,half_closed,happy
17011,open,happy
17123,half_closed,happy
17142,closed,happy
17443,half_closed,happy
22020,open,happy
22131,half_closed,happy
22149,closed,happy
22428,half_closed,happy
26955,open,happy
27059,half_closed,happy
27079,closed,happy
27380,half_closed,happy
32517,open,happy
32631,half_closed,happy
32650,closed,happy
32951,half_closed,happy
38765,open,happy
38875,half_closed,happy
38895,open,happy
