audio offset,blinking state,eye state
4415,open,neutral
4525,half_closed,neutral
4545,closed,neutral
4840,half_closed,neutral
10038,open,neutral
10157,half_closed,neutral
10177,closed,neutral
10498,half_closed,neutral
10598,open,neutral
10708,half_closed,neutral
10726,closed,neutral
11003,half_closed,neutral
16488,open,neutral
16597,half_closed,neutral
16616,closed,neutral
16928,half_closed,neutral
22701,open,neutral
22812,half_closed,neutral
22831,closed,neutral
23146,half_closed,neutral
27649,open,neutral
27767,half_closed,neutral
27785,closed,neutral
28086,half_closed,neutral
32643,open,neutral
32756,half_closed,neutral
32776,closed,neutral
33090,half_closed,neutral
38494,open,neutral
38606,half_closed,neutral
38626,closed,neutral
38937,half_closed,neutral
43285,open,neutral
43395,half_closed,neutral
43414,open,neutral
