audio offset,viseme,mouth state
50.0,I,happy
101.0,C,happy
292.3,G,happy
381.6,E,happy
445.4,C,happy
547.4,A,happy
649.5,E,happy
726.0,I,happy
917.3,G,happy
968.4,B,happy
1044.9,E,happy
1121.4,E,happy
1185.2,H,happy
1249.0,D,happy
1376.5,F,happy
1440.3,C,happy
1657.1,E,happy
1733.0,I,happy
1797.4,E,happy
1861.2,B,happy
1912.2,G,happy
1963.3,A,happy
2014.3,E,happy
2090.8,B,happy
2205.6,E,happy
2269.4,E,happy
2333.2,E,happy
2396.9,G,happy
2448.0,B,happy
2537.2,E,happy
2613.8,E,happy
2652.0,E,happy
2690.3,A,happy
2779.6,E,happy
2970.0,I,happy
