audio offset,viseme,mouth state
50.0,I,angry
101.0,E,angry
177.6,A,angry
266.8,E,angry
330.6,E,angry
381.6,A,angry
432.7,F,angry
470.9,A,angry
611.2,E,angry
700.5,A,angry
777.0,F,angry
853.6,E,angry
904.6,A,angry
955.6,E,angry
993.9,E,angry
1044.9,E,angry
1210.7,C,angry
1300.0,G,angry
1363.8,A,angry
1427.6,E,angry
1491.3,E,angry
1606.1,A,angry
1682.7,E,angry
1759.2,E,angry
1810.2,A,angry
1912.2,H,angry
1924.0,I,angry
2001.5,A,angry
2052.6,E,angry
2116.3,A,angry
2231.1,E,angry
2320.4,A,angry
2384.2,F,angry
2460.7,E,angry
2524.5,A,angry
2562.8,E,angry
2601.0,E,angry
2652.0,A,angry
2766.8,D,angry
2830.6,E,angry
2881.6,A,angry
2932.7,F,angry
3009.2,B,angry
3111.2,E,angry
3226.0,E,angry
3442.0,I,angry
4221.9,I,angry
4273.0,G,angry
4375.0,B,angry
4477.0,E,angry
4540.8,A,angry
4617.3,E,angry
4719.4,C,angry
4936.2,H,angry
4987.2,F,angry
5051.0,A,angry
5140.3,A,angry
5216.8,E,angry
5306.1,G,angry
5395.4,A,angry
5471.9,E,angry
5650.5,C,angry
5816.3,B,angry
5982.1,E,angry
6096.9,E,angry
6223.9,I,angry
6441.3,H,angry
6492.3,A,angry
6530.6,E,angry
6594.4,G,angry
6632.7,B,angry
6709.2,E,angry
6773.0,C,angry
6824.0,E,angry
6900.5,H,angry
7002.6,G,angry
7104.6,A,angry
7206.6,E,angry
7270.4,A,angry
7334.2,E,angry
7385.2,E,angry
7435.9,I,angry
7500.0,A,angry
7614.8,E,angry
7704.1,E,angry
7857.1,H,angry
7946.4,A,angry
8048.5,E,angry
8176.0,A,angry
8367.3,E,angry
8570.9,I,angry
9400.5,I,angry
9451.5,G,angry
9528.1,A,angry
9617.3,G,angry
9757.7,C,angry
9834.2,E,angry
9910.7,E,angry
9942.6,E,angry
9974.5,A,angry
10051.0,E,angry
10127.6,E,angry
10242.3,H,angry
10306.1,G,angry
10395.4,A,angry
10497.4,E,angry
10561.2,A,angry
10676.0,E,angry
10726.5,I,angry
10892.9,E,angry
10994.9,C,angry
11109.7,G,angry
11173.5,E,angry
11211.7,E,angry
11352.0,A,angry
11428.6,E,angry
11543.4,C,angry
11747.4,G,angry
11797.5,I,angry
12015.3,A,angry
12142.9,E,angry
12232.1,E,angry
12321.4,E,angry
12500.0,B,angry
12576.5,A,angry
12665.8,A,angry
12755.1,E,angry
12857.1,E,angry
12984.7,C,angry
13137.8,G,angry
13278.1,E,angry
13379.5,I,angry
14209.2,I,angry
14260.2,E,angry
14464.3,B,angry
14553.6,E,angry
14630.1,E,angry
14706.6,E,angry
14732.1,E,angry
14770.4,B,angry
14821.4,E,angry
14974.5,A,angry
15063.8,E,angry
15178.6,C,angry
15344.4,G,angry
15395.2,I,angry
15446.4,A,angry
15561.2,E,angry
15663.3,E,angry
15739.8,E,angry
15867.3,A,angry
16148.0,E,angry
16627.6,I,angry
16627.6,A,angry
16742.3,E,angry
16908.2,C,angry
17099.5,E,angry
17175.6,I,angry
17239.8,A,angry
17329.1,E,angry
17443.9,E,angry
17558.7,B,angry
17686.2,E,angry
17775.5,H,angry
17852.0,G,angry
17941.3,A,angry
18043.4,E,angry
18119.9,A,angry
18234.7,E,angry
18425.6,I,angry
19305.1,I,angry
19356.1,G,angry
19458.2,A,angry
19547.4,E,angry
19700.5,H,angry
19789.8,C,angry
19917.3,G,angry
19993.9,A,angry
20070.4,E,angry
20134.2,E,angry
20236.2,H,angry
20300.0,G,angry
20389.3,A,angry
20491.3,E,angry
20555.1,A,angry
20644.4,E,angry
20733.7,A,angry
20823.0,E,angry
20925.0,E,angry
21052.6,G,angry
21167.3,A,angry
21307.7,E,angry
21435.2,E,angry
21639.1,I,angry
22418.4,I,angry
22469.4,A,angry
22609.7,E,angry
22673.5,A,angry
22762.8,E,angry
22852.0,E,angry
23043.4,C,angry
23196.4,E,angry
23285.7,F,angry
23349.5,A,angry
23400.5,E,angry
23464.3,A,angry
23515.3,E,angry
23566.3,E,angry
23642.9,H,angry
23795.9,B,angry
23872.4,E,angry
23949.0,H,angry
23987.2,A,angry
24051.0,G,angry
24127.5,E,angry
24242.3,A,angry
24331.6,G,angry
24395.4,A,angry
24484.7,E,angry
24599.4,I,angry
24676.0,A,angry
24714.3,E,angry
24778.1,G,angry
24829.1,A,angry
24892.9,E,angry
25045.9,A,angry
25122.4,E,angry
25173.5,E,angry
25211.7,A,angry
25237.2,A,angry
25301.0,G,angry
25339.3,A,angry
25403.1,E,angry
25479.6,E,angry
25556.1,A,angry
25696.4,E,angry
25772.4,I,angry
25824.0,A,angry
25887.8,E,angry
25938.8,A,angry
25989.8,E,angry
26053.6,E,angry
26117.3,A,angry
26270.4,E,angry
26321.4,H,angry
26359.7,A,angry
26423.5,E,angry
26538.3,F,angry
26614.8,A,angry
26742.3,E,angry
26907.4,I,angry
27737.2,I,angry
27788.3,F,angry
27954.1,G,angry
28068.9,A,angry
28209.2,E,angry
28349.5,C,angry
28540.2,I,angry
28604.6,A,angry
28706.6,E,angry
28783.2,A,angry
28859.7,E,angry
29000.0,A,angry
29076.5,G,angry
29127.6,A,angry
29191.3,E,angry
29255.1,H,angry
29331.6,G,angry
29420.9,A,angry
29523.0,E,angry
29586.7,A,angry
29701.5,E,angry
29828.2,I,angry
30104.6,I,angry
30104.6,D,angry
30155.6,A,angry
30232.1,E,angry
30276.8,E,angry
30334.2,G,angry
30525.5,C,angry
30627.6,A,angry
30729.6,E,angry
30831.6,E,angry
30933.7,B,angry
31010.2,E,angry
31074.0,E,angry
31150.5,E,angry
31176.0,E,angry
31214.3,B,angry
31265.3,E,angry
31418.4,A,angry
31520.4,E,angry
31635.2,C,angry
31801.0,G,angry
31889.6,I,angry
31954.1,A,angry
32017.9,E,angry
32119.9,E,angry
32247.4,G,angry
32349.5,A,angry
32489.8,E,angry
32617.3,E,angry
32820.6,I,angry
33700.5,I,angry
33751.5,G,angry
33840.8,A,angry
33942.9,H,angry
34006.6,G,angry
34146.9,D,angry
34325.5,E,angry
34491.3,B,angry
34580.6,E,angry
34657.1,F,angry
34720.9,A,angry
34861.2,E,angry
34949.5,I,angry
35014.3,A,angry
35116.3,E,angry
35205.6,H,angry
35307.7,B,angry
35384.2,E,angry
35448.0,A,angry
35524.5,H,angry
35613.8,C,angry
35671.2,B,angry
35728.6,E,angry
35792.3,E,angry
35868.9,A,angry
35907.1,E,angry
35970.9,E,angry
36047.4,E,angry
36175.0,B,angry
36251.5,E,angry
36315.3,A,angry
36379.1,E,angry
36442.9,E,angry
36468.4,A,angry
36519.4,E,angry
36608.7,C,angry
36685.2,A,angry
36761.7,E,angry
36889.3,F,angry
36965.8,G,angry
37055.1,A,angry
37169.9,E,angry
37323.0,C,angry
37603.5,I,angry
38395.4,I,angry
38446.4,A,angry
38586.7,E,angry
38663.3,A,angry
38778.1,E,angry
38867.3,A,angry
38943.9,E,angry
39045.9,A,angry
39122.4,E,angry
39199.0,E,angry
39262.8,B,angry
39326.5,G,angry
39390.3,A,angry
39607.1,E,angry
39670.4,I,angry
39836.7,G,angry
39875.0,B,angry
39964.3,E,angry
40053.6,A,angry
40232.1,E,angry
40346.9,E,angry
40436.2,G,angry
40576.5,C,angry
40704.1,H,angry
40767.9,G,angry
40857.1,A,angry
41048.5,E,angry
41150.4,I,angry
41979.6,I,angry
42030.6,A,angry
42196.4,E,angry
42260.2,A,angry
42336.7,E,angry
42426.0,G,angry
42477.0,A,angry
42566.3,H,angry
42681.1,G,angry
42795.9,A,angry
42910.7,E,angry
42961.7,A,angry
43038.3,E,angry
43089.3,E,angry
43216.8,A,angry
43331.6,E,angry
43408.2,A,angry
43510.2,E,angry
43599.5,E,angry
43649.6,I,angry
43727.0,E,angry
43778.1,B,angry
43829.1,G,angry
43892.9,A,angry
43969.4,E,angry
44135.2,A,angry
44224.5,E,angry
44301.0,A,angry
44352.0,F,angry
44415.8,G,angry
44454.1,A,angry
44530.6,E,angry
44607.1,E,angry
44734.7,C,angry
44836.7,G,angry
44900.5,A,angry
44964.3,E,angry
45028.1,E,angry
45155.6,A,angry
45232.1,E,angry
45334.2,E,angry
45385.2,A,angry
45525.5,H,angry
45915.8,I,angry
45928.6,D,angry
46056.1,G,angry
46145.4,A,angry
46375.0,E,angry
46591.8,I,angry
47458.2,I,angry
47509.2,G,angry
47675.0,A,angry
47777.0,E,angry
47904.6,E,angry
48006.6,A,angry
48185.2,E,angry
48248.2,I,angry
48300.0,A,angry
48402.0,E,angry
48504.1,G,angry
48644.4,C,angry
48746.4,E,angry
48823.0,E,angry
48854.8,E,angry
48886.7,A,angry
48937.8,E,angry
49014.3,G,angry
49065.3,A,angry
49103.6,E,angry
49282.1,C,angry
49409.7,G,angry
49499.0,A,angry
49550.0,F,angry
49613.8,A,angry
49652.0,E,angry
49715.8,E,angry
49779.6,H,angry
49881.6,G,angry
49970.9,A,angry
50073.0,E,angry
50136.7,A,angry
50200.5,E,angry
50264.3,E,angry
50353.6,E,angry
50417.3,A,angry
50481.1,E,angry
50544.9,B,angry
50659.7,G,angry
50710.7,A,angry
50774.5,E,angry
50927.2,I,angry
