audio offset,viseme,mouth state
50.0,I,neutral
102.1,D,neutral
206.2,A,neutral
297.4,C,neutral
349.5,E,neutral
388.5,A,neutral
466.7,E,neutral
518.8,A,neutral
596.9,H,neutral
740.1,B,neutral
818.2,E,neutral
870.3,A,neutral
935.4,G,neutral
974.5,B,neutral
1039.6,G,neutral
1104.7,A,neutral
1208.9,D,neutral
1274.0,E,neutral
1313.0,A,neutral
1365.1,F,neutral
1430.2,B,neutral
1508.3,E,neutral
1625.5,E,neutral
1768.0,I,neutral
1953.1,D,neutral
2031.2,A,neutral
2109.4,E,neutral
2141.9,E,neutral
2187.5,A,neutral
2239.6,E,neutral
2304.7,E,neutral
2395.8,B,neutral
2447.9,A,neutral
2500.0,G,neutral
2578.1,E,neutral
2656.2,E,neutral
2760.4,D,neutral
2877.6,E,neutral
2955.7,A,neutral
3007.8,E,neutral
3046.9,E,neutral
3112.0,E,neutral
3151.0,A,neutral
3177.1,E,neutral
3216.1,A,neutral
3242.2,E,neutral
3294.3,E,neutral
3346.4,C,neutral
3385.4,A,neutral
3424.5,E,neutral
3489.6,E,neutral
3528.6,A,neutral
3606.8,E,neutral
3697.9,C,neutral
3776.0,B,neutral
3854.2,E,neutral
3919.3,A,neutral
3958.3,E,neutral
3997.4,E,neutral
4036.5,E,neutral
4088.5,A,neutral
4153.6,F,neutral
4205.7,E,neutral
4244.8,A,neutral
4283.9,E,neutral
4322.9,E,neutral
4362.0,E,neutral
4440.1,H,neutral
4505.2,A,neutral
4596.4,E,neutral
4700.5,A,neutral
4830.7,E,neutral
4908.0,I,neutral
4987.0,C,neutral
5091.1,E,neutral
5169.3,E,neutral
5260.4,D,neutral
5364.6,E,neutral
5429.7,C,neutral
5501.3,B,neutral
5572.9,E,neutral
5638.0,A,neutral
5677.1,E,neutral
5703.1,E,neutral
5742.2,A,neutral
5794.3,E,neutral
5833.3,E,neutral
5885.4,A,neutral
5924.5,F,neutral
5976.6,A,neutral
6041.7,E,neutral
6080.7,E,neutral
6119.8,B,neutral
6158.9,A,neutral
6224.0,G,neutral
6289.1,H,neutral
6367.2,G,neutral
6432.3,A,neutral
6510.4,E,neutral
6575.5,A,neutral
6679.7,E,neutral
6770.8,E,neutral
6979.0,I,neutral
7825.5,I,neutral
7877.6,G,neutral
7942.7,A,neutral
8020.8,E,neutral
8112.0,H,neutral
8177.1,A,neutral
8268.2,E,neutral
8359.4,A,neutral
8450.5,E,neutral
8528.6,D,neutral
8567.7,A,neutral
8619.8,E,neutral
8658.9,E,neutral
8710.9,A,neutral
8763.0,D,neutral
8815.1,H,neutral
8867.2,A,neutral
8906.2,E,neutral
8971.4,C,neutral
9010.4,A,neutral
9049.5,E,neutral
9114.6,A,neutral
9179.7,H,neutral
9257.8,A,neutral
9335.9,E,neutral
9375.0,A,neutral
9427.1,E,neutral
9492.2,E,neutral
9557.3,A,neutral
9687.5,E,neutral
9765.5,I,neutral
9843.7,C,neutral
9947.9,E,neutral
10026.0,E,neutral
10130.2,D,neutral
10247.4,F,neutral
10325.5,C,neutral
10403.6,E,neutral
10533.9,B,neutral
10612.0,F,neutral
10729.2,B,neutral
10897.5,I,neutral
11080.7,E,neutral
11145.8,G,neutral
11210.9,C,neutral
11276.0,E,neutral
11367.2,C,neutral
11445.3,H,neutral
11575.5,B,neutral
11647.1,A,neutral
11718.7,G,neutral
11835.9,E,neutral
11939.5,I,neutral
12109.4,E,neutral
12168.0,E,neutral
12226.6,B,neutral
12278.6,A,neutral
12330.7,E,neutral
12395.8,E,neutral
12447.9,A,neutral
12604.2,G,neutral
12695.3,E,neutral
12811.5,I,neutral
12994.8,H,neutral
13085.9,C,neutral
13190.1,E,neutral
13255.2,A,neutral
13307.3,E,neutral
13411.5,A,neutral
13541.7,G,neutral
13632.8,E,neutral
13736.5,I,neutral
13789.1,A,neutral
13789.1,E,neutral
13854.2,H,neutral
13919.3,E,neutral
13997.4,C,neutral
14062.5,E,neutral
14140.6,B,neutral
14205.7,F,neutral
14270.8,A,neutral
14322.9,G,neutral
14401.0,B,neutral
14505.2,E,neutral
14583.3,A,neutral
14713.5,E,neutral
14908.5,I,neutral
15755.2,I,neutral
15807.3,G,neutral
15885.4,B,neutral
15950.5,A,neutral
16028.6,C,neutral
16210.9,G,neutral
16302.1,C,neutral
16354.2,E,neutral
16406.2,A,neutral
16458.3,E,neutral
16510.4,E,neutral
16627.6,B,neutral
16692.7,G,neutral
16757.8,A,neutral
16822.9,E,neutral
16855.5,E,neutral
16888.0,A,neutral
16940.1,E,neutral
16979.2,E,neutral
17018.2,E,neutral
17096.4,E,neutral
17161.5,A,neutral
17239.6,E,neutral
17278.6,E,neutral
17317.7,A,neutral
17395.8,E,neutral
17474.0,E,neutral
17551.2,I,neutral
17617.2,D,neutral
17656.2,A,neutral
17708.3,E,neutral
17760.4,F,neutral
17877.6,A,neutral
17994.8,G,neutral
18059.9,A,neutral
18164.1,E,neutral
18307.3,E,neutral
18489.2,I,neutral
19349.0,I,neutral
19401.0,C,neutral
19466.1,B,neutral
19531.3,E,neutral
19583.3,A,neutral
19622.4,F,neutral
19687.5,G,neutral
19726.6,A,neutral
19817.7,E,neutral
19895.8,E,neutral
19960.9,H,neutral
20039.1,A,neutral
20143.2,E,neutral
20260.4,A,neutral
20416.7,E,neutral
20507.0,I,neutral
20690.1,E,neutral
20748.7,E,neutral
20807.3,B,neutral
20865.9,A,neutral
20924.5,E,neutral
20989.6,E,neutral
21054.7,A,neutral
21224.0,G,neutral
21328.1,E,neutral
21419.0,I,neutral
21549.5,A,neutral
21575.5,E,neutral
21653.6,E,neutral
21744.8,D,neutral
21862.0,F,neutral
21940.1,C,neutral
22018.2,E,neutral
22148.4,B,neutral
22239.6,F,neutral
